http://collection.britishmuseum.org/id/bibliography/5396,"Forgotten Empire: The world of Ancient Persia","Tallis, N",0714111570
http://collection.britishmuseum.org/id/bibliography/3379,"Forming designs, shaping medals: a collection of wax models by the Hamerani","Hinton, Jack",02063-7707
http://collection.britishmuseum.org/id/bibliography/8125,"From Persepolis to the Punjab. Exploring ancient Iran, Afghanistan and Pakistan","Curtis, V S","13: 978-0-7141-1165-0"
http://collection.britishmuseum.org/id/bibliography/8125,"From Persepolis to the Punjab. Exploring ancient Iran, Afghanistan and Pakistan","Errington, E","13: 978-0-7141-1165-0"
http://collection.britishmuseum.org/id/bibliography/9700,"Gazna/Kabbul XIV d Hurasan IV","Schwartz, Florian",3-8030-1101-9/0945-4020
http://collection.britishmuseum.org/id/bibliography/6143,"Greek Imperial Countermarks","Howgego, C J",0901405
http://collection.britishmuseum.org/id/bibliography/7736,"Hadrian: Empire and Conflict","Opper, T",978-8-7141-5074-1
http://collection.britishmuseum.org/id/bibliography/6559,"Hidden Meanings in Chinese Art","Bartholomew, Terese Tse",0-939117-36-3
http://collection.britishmuseum.org/id/bibliography/125,"Hindu Art","Blurton, T Richard",0-7141-1442-1
http://collection.britishmuseum.org/id/bibliography/6420,"Historia Numorum : Italy","Rutter, N K",071411801x
http://collection.britishmuseum.org/id/bibliography/7725,"Horse coins: pieces for Da Ma, the Chinese board-game 'Driving the Horses'","Cribb, Joe",978-0-7141-1153-7
http://collection.britishmuseum.org/id/bibliography/9764,"Iranisches Personennamenbuch: Nomina Propria Iranica in Nummis","Michael Alram","3 7001 07900"
http://collection.britishmuseum.org/id/bibliography/64,"Japanese Art: Masterpieces in the British Museum","Clark, Timothy",0-7141-1446-4
http://collection.britishmuseum.org/id/bibliography/64,"Japanese Art: Masterpieces in the British Museum","Smith, Lawrence",0-7141-1446-4
http://collection.britishmuseum.org/id/bibliography/64,"Japanese Art: Masterpieces in the British Museum","Harris, Victor",0-7141-1446-4
http://collection.britishmuseum.org/id/bibliography/9072,"Jitals. A Catalogue and Account of the Coin Denomination of Daily Use in Medieval Afghanistan and North West India.","R. and M. Tye","0 9524144 0 6"
http://collection.britishmuseum.org/id/bibliography/8937,"Kanishka's Buddha image coins revisited","J. Cribb",0917-1614
http://collection.britishmuseum.org/id/bibliography/5655,"Korea: Art and Archaeology","Wang, Helen",0-7141-1487-1
http://collection.britishmuseum.org/id/bibliography/5655,"Korea: Art and Archaeology","Hughes, Michael",0-7141-1487-1
http://collection.britishmuseum.org/id/bibliography/5655,"Korea: Art and Archaeology","Joyner, Louise",0-7141-1487-1
http://collection.britishmuseum.org/id/bibliography/5655,"Korea: Art and Archaeology","Portal, Jane",0-7141-1487-1
http://collection.britishmuseum.org/id/bibliography/8194,"Las Monedas Ebusu.","Campo, M",84-85060-02-4
http://collection.britishmuseum.org/id/bibliography/8161,"Las Monedas Hispano-Cataginesas","Villaronga, Leandro",84-85060-23-7
http://collection.britishmuseum.org/id/bibliography/8462,"Las Monedas de Castulo con escritura indigena.  Historia Numismatica de una ciudad minera.","Garcia-Bellido, M. Paz",84-85060-47-4
http://collection.britishmuseum.org/id/bibliography/8167,"Las Monedas de Gadir/Gades","Alfaro Asins, C.",84-404-1428-5
http://collection.britishmuseum.org/id/bibliography/8199,"Las Monedas de Malaca.","Campo, Marta",84-89157-03-0
http://collection.britishmuseum.org/id/bibliography/8199,"Las Monedas de Malaca.","Mora, Bartolome",84-89157-03-0
http://collection.britishmuseum.org/id/bibliography/6334,"Le Monnayage de l'Atelier de Lyon (43 AV. J.-C. - 413 APR. J.-C.), Supplement II","Amandry, M",90-74623-29-8
http://collection.britishmuseum.org/id/bibliography/6334,"Le Monnayage de l'Atelier de Lyon (43 AV. J.-C. - 413 APR. J.-C.), Supplement II","Estiot, S",90-74623-29-8
http://collection.britishmuseum.org/id/bibliography/6334,"Le Monnayage de l'Atelier de Lyon (43 AV. J.-C. - 413 APR. J.-C.), Supplement II","Gautier, G",90-74623-29-8
http://collection.britishmuseum.org/id/bibliography/8262,"Les monedes Iberiques de Tarraco","Villaronga, Leandre",84-300-9489-X
http://collection.britishmuseum.org/id/bibliography/5977,"Medieval European coinage volume 1: The early Middle Ages (5th-10th centuries)","Blackburn, Mark",0521260094
http://collection.britishmuseum.org/id/bibliography/5977,"Medieval European coinage volume 1: The early Middle Ages (5th-10th centuries)","Grierson, Philip",0521260094
http://collection.britishmuseum.org/id/bibliography/4918,"Metallurgical analysis of Chinese coins at the British Museum","Bowman, Sheridan (ed)","ISBN 086-159-152-6"
http://collection.britishmuseum.org/id/bibliography/4918,"Metallurgical analysis of Chinese coins at the British Museum","Cowell, Michael (ed)","ISBN 086-159-152-6"
http://collection.britishmuseum.org/id/bibliography/4918,"Metallurgical analysis of Chinese coins at the British Museum","Cribb, Joe (ed)","ISBN 086-159-152-6"
http://collection.britishmuseum.org/id/bibliography/4918,"Metallurgical analysis of Chinese coins at the British Museum","Wang, Helen (ed)","ISBN 086-159-152-6"
http://collection.britishmuseum.org/id/bibliography/8636,"Moneta Langobardorum","Ernesto Bernareggi",882050456I
http://collection.britishmuseum.org/id/bibliography/7803,"Money as a Marker of Cultural Continuity and Change in Central Asia.","Cribb, Joe",978-0-19-726384-6
http://collection.britishmuseum.org/id/bibliography/8580,"Money in the incipient Roman Empire (Anastasius I - Justinian I, 491-565)","Wolfgang Hahn and M.A. Metlich",3950053034
http://collection.britishmuseum.org/id/bibliography/8582,"Money of the incipient Byzantine Empire Continued (Justin II-revolt of the Heraclii, 565-610)","Wolfgang Hahn and Michael Metlich",9783950198720
http://collection.britishmuseum.org/id/bibliography/4919,"Money on the Silk Road: the evidence from Eastern Central Asia to c. AD 800","Wang, Helen","ISBN 0-7141-1806-0"
http://collection.britishmuseum.org/id/bibliography/6527,"Monnaies de l'Empire Romain, XII.1 D'Aurélian à Florien (207-276 après J.-C.)","Estiot, Sylviane",2-7177-1304-2
http://collection.britishmuseum.org/id/bibliography/9114,"Monnaies du Haut Moyen Âge découvertes en France (Ve-VIIIe siècle)","Jean Lafaurie/Jacqueline Pilet/Lemière",2-271-06169-5
http://collection.britishmuseum.org/id/bibliography/9001,"New evidence for Sasanian Numismatics: the collection of Ahmad Saeedi.","Rika Gyselen",2-9521376-0-9
http://collection.britishmuseum.org/id/bibliography/8661,"Non-Islamic States & Western Colonies AD 600 - 1979","Mitchiner, Michael",0904173186
http://collection.britishmuseum.org/id/bibliography/9460,"Numismatica Antiga de la Peninsula Iberica","Villaronga, Leandre",84-7283-772-6
http://collection.britishmuseum.org/id/bibliography/2354,"Principal coins of the Romans: Volume I: The Republic c. 290 - 31 BC; Volume II: The Principate 31 BC - AD 296; Volume III: The Dominate AD 294 - 498.","Carson, R A G","0714108448; 0714108529; 0714108537"
http://collection.britishmuseum.org/id/bibliography/853,"Rediscovering the Collections of Charles Masson","Errington, Elizabeth",3-7001-2842-8
http://collection.britishmuseum.org/id/bibliography/853,"Rediscovering the Collections of Charles Masson","Alram, Michael (ed.)",3-7001-2842-8
http://collection.britishmuseum.org/id/bibliography/853,"Rediscovering the Collections of Charles Masson","Klimburg-Salter, Deborah E. (ed.)",3-7001-2842-8
http://collection.britishmuseum.org/id/bibliography/5778,"Roman Medallions","Toynbee, J M C",0-89722-212-1
http://collection.britishmuseum.org/id/bibliography/5249,"Roman Provincial Coinage II","Amandry, M",0714108987
http://collection.britishmuseum.org/id/bibliography/5249,"Roman Provincial Coinage II","Burnett, A",0714108987
http://collection.britishmuseum.org/id/bibliography/5249,"Roman Provincial Coinage II","Carradice, I",0714108987
http://collection.britishmuseum.org/id/bibliography/2317,"Roman provincial coinage. Vol. 1, From the death of Caesar to the death of Vitellius (44 BC-AD 69)","Amandry, M",0714108715
http://collection.britishmuseum.org/id/bibliography/2317,"Roman provincial coinage. Vol. 1, From the death of Caesar to the death of Vitellius (44 BC-AD 69)","Burnett, A M",0714108715
http://collection.britishmuseum.org/id/bibliography/2317,"Roman provincial coinage. Vol. 1, From the death of Caesar to the death of Vitellius (44 BC-AD 69)","Ripollès, P P",0714108715
http://collection.britishmuseum.org/id/bibliography/9651,"SNS II Ohrmazd I - Ohrmazd II: Paris - Berlin - Wien","Gyselen, Rika",978-3-7001-6993-2
http://collection.britishmuseum.org/id/bibliography/9651,"SNS II Ohrmazd I - Ohrmazd II: Paris - Berlin - Wien","Alram, Michael",978-3-7001-6993-2
http://collection.britishmuseum.org/id/bibliography/8997,"SNS III Shapur II - Kawad I. / 2. Regierung","Schindel, Nikolaus",3-7001-3314-6
http://collection.britishmuseum.org/id/bibliography/8124,"Shah 'Abbas The Remaking of Iran","Canby, Sheila R",978-0-7141-2456-8
http://collection.britishmuseum.org/id/bibliography/5651,"Siraf XV: The coins and monumental inscriptions","Lowick, Nicholas M",0-901477-04-4
http://collection.britishmuseum.org/id/bibliography/5537,"Sylloge Nummorum Graecorum: Volume IX: The British Museum.  Part I: The Black Sea","Price, Martin J",0714108723
http://collection.britishmuseum.org/id/bibliography/5555,"Sylloge Nummorum Graecorum: Volume IX: The British Museum.  Part II: Spain","Bagwell-Purefoy, Peter",0714118028
http://collection.britishmuseum.org/id/bibliography/5555,"Sylloge Nummorum Graecorum: Volume IX: The British Museum.  Part II: Spain","Meadows, Andrew R",0714118028
http://collection.britishmuseum.org/id/bibliography/9752,"Sylloge Nummorum Sasanidarum, Paris - Berlin - Wien, Band I: Ardashir I. - Shapur I.","Rika Gyselen",3-7001-3224-7
http://collection.britishmuseum.org/id/bibliography/9752,"Sylloge Nummorum Sasanidarum, Paris - Berlin - Wien, Band I: Ardashir I. - Shapur I.","Michael Alram",3-7001-3224-7
http://collection.britishmuseum.org/id/bibliography/2936,"System und Chronologie der Munzpragung des Kusanreiches","Göbl, Robert",3700106181
http://collection.britishmuseum.org/id/bibliography/8130,"The Aes Coinage of Emporion","Villaronga, Leandre","0 904531 70 8"
http://collection.britishmuseum.org/id/bibliography/7328,"The Ancient and Classical World 600 BC - AD 650","Mitchiner, Michael","0 904173 16 X"
http://collection.britishmuseum.org/id/bibliography/3364,"The Coinage in the name of Alexander the Great and Philip Arridhaeus. A British Museum Catalogue.","Price, Martin Jessop",3908103002
http://collection.britishmuseum.org/id/bibliography/7938,"The Coinage of Ostrogothic Italy","Metlich, M A",1-902040-58-9
http://collection.britishmuseum.org/id/bibliography/8740,"The Coins - 1983","Visona, P","0472101137 (v. 1)"
http://collection.britishmuseum.org/id/bibliography/9395,"The Coins of the Indian Sultanates, Covering the Area of Present-Day India, Pakistan and Bangladesh.","Goron, S. and Goenka, J.P.",81-215-1010-4
http://collection.britishmuseum.org/id/bibliography/7805,"The Dynasty of Azes.","Mitchiner, Michael",0-904173-11-9
http://collection.britishmuseum.org/id/bibliography/2155,"The Enduring Image, Treasures from the British Museum","Blurton, T Richard","086357 372 9"
http://collection.britishmuseum.org/id/bibliography/8593,"The Indo-Parthians. Their Kushan Neighbours","Mitchiner, Michael",0-904173-13-5
http://collection.britishmuseum.org/id/bibliography/2525,"The Making of England: Anglo-Saxon art and culture, AD 600-900","Backhouse, Janet",0-7141-0555-4
http://collection.britishmuseum.org/id/bibliography/2525,"The Making of England: Anglo-Saxon art and culture, AD 600-900","Webster, Leslie",0-7141-0555-4
http://collection.britishmuseum.org/id/bibliography/9617,"The New Islamic Dynasties; a chronological and genealogical manual","Bosworth, Clifford Edmund","0 7486 2137 7"
http://collection.britishmuseum.org/id/bibliography/7719,"The Normanby Hoard and Other Roman Coin Hoards","Burnett, A M",0714108707
