CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Contents,Total count,Min. count,Max. count,Approximate
,,,,,6.011,,,,,,31+ AR,,31,,yes
,,,,,,7.006,,,,,34 EL,34,,,
,,,,,,7.007,,,,,150+ EL,,150,,yes
,,,,,,7.011,,,,,30+ AR,,30,,yes
,,,,,,7.014,,,,,24+ AR,,24,,yes
,,,,,,7.015,,,,,250+ AR,,250,,yes
,,,,,,7.020,,,,1179,19 AR,19,,,
,,,,,,7.027,,,,,3 in excavations,3,,,
,,,,,,7.028,,,,,12 AR,12,,,
,,,,,,7.035,,,,,33 AR,33,,,
,,,,,,7.044,,,,,hundreds AR,,200,,yes
,,,,,,7.047,,,,,10+ AR,,10,,yes
,,,,,,7.048,,,,,30 AU,30,,,
,,,,,,7.049,,,,1664,,,,,
,,,,,,7.051,,,,,33+ AR,,33,,yes
,,,,,,7.058,,,,,52 AR,52,,,
,,,,,,7.060,,,,,567+ AR,,567,,yes
,,,,,,7.062,,,,,7+ AR,,7,,yes
,,,,,,7.066,,,,,8+ AR,,8,,yes
,,,,,,7.071,,,,,37+ AR,,37,,yes
,,,,,,7.076,,,,,6+ AR,,6,,yes
,,,,,,7.089,,,,,40+ AR,,40,,yes
,,,,,,7.092,,,,,several AR,,3,9,yes
,,,,,,7.093,,,,888,162+ AR,,162,,yes
,,,,,,7.095,,,,1343,,,,,
,,,,,,7.099,,,,,22+ AR,,22,,yes
,,,,,,7.100,,,,,20+ AR,,20,,yes
,,,,,,7.105,,,,,84+ AR,,84,,yes
,,,,,,7.106,,,,,hundreds AE,,200,,yes
,,,,,,7.126,,,,,431 AR,431,,,yes
,,,,,,,8.002,,,,"29+ EL, part of a much larger hoard",,29,,yes
,,,,,,,8.003,,,,4 EL,4,,,
,,,,,,,8.005,,,,30+ EL,,30,,yes
,,,,,,,8.006,,,,EL,,,,
,,,,,,,8.007,,,,3 AU; 14 EL,17,,,
,,,,,,,8.008,,,,6 + BI,,6,,yes
,,,,,,,8.009,,,,21+ AR and EL,,21,,yes
,,,,,,,8.010,,,,270 AR with jewellery mainly in fragments,270,,,
,,,,,,,8.011,,,,25+,,25,,yes
,,,,,,,8.012,,,,30+ AV,,30,,yes
,,,,,,,8.014,,,,37+AR,,37,,yes
,,,,,,,8.190,,,1508,7200+ AV (in three lots),,7200,,yes
,,,,,,,8.021,,,1185,30 + AR,,30,,yes
,,,,,,,8.022,,,,15 AR,15,,,
,,,,,,,8.025,,,,c. 40-50 AR,,40,50,yes
,,,,,,,8.026,,,,c. 200 AR,200,,,yes
,,,,,,,8.028,,,,29 AR,29,,,
,,,,,,,8.030,,,1221,AR,,,,
,,,,,,,8.032,,,,5 AR,5,,,
,,,,,,,8.033,,,,"c. 10 AR, in heap, excavation",10,,,yes
,,,,,,,8.036,,,,75 AR,75,,,
,,,,,,,8.039,,,,5+ AR,,5,,yes
,,,,,,,8.043,,,1277,,,,,
,,,,,,,8.047,,,,100+ AR,,100,,yes
,,,,,,,8.050,,,,3 AR,3,,,
,,,,,,,8.054,,,,50+,,50,,yes
,,,,,,,8.057,,,,18 AR,18,,,
,,,,,,,8.068,,,,24 AR,24,,,
,,,,,,,8.071,,,,277 AR,277,,,
,,,,,,,8.072,,,,243+ AR,,243,,yes
,,,,,,,8.073,,,,AR ,,,,
,,,,,,,8.079,,,,"10 AR, excavation find",10,,,
,,,,,,,8.082,,,1231,4 AR in addition to IGCH 1231,,4,,
,,,,,,,8.084,,,,13 AE,13,,,
,,,,,,,8.090,,,1747,23 AR + other objects,23,,,
,,,,,,,8.094,,,,35(+?) sigloi,,35,,yes
,,,,,,,8.099,,,1263,137 AR,137,,,
,,,,,,,8.100,,,,52 AR,52,,,
,,,,,,,8.102,,,,7 AR,7,,,
,,,,,,,8.106,,,,37 AR,37,,,
,,,,,,,8.107,,,,"108 AR, pot hoard",108,,,
,,,,,,,8.111,,,,5+ AR,,5,,yes
,,,,,,,8.112,,,,3 AR,3,,,
,,,,,,,8.114,,,,12 AR,12,,,
,,,,,,,8.116,,,,10 AR,10,,,
,,,,,,,8.121,,,,354 AR,354,,,
,,,,,,,8.126,,,,"19 AR, 2 ingots",19,,,
,,,,,,,8.122,,,865,"c. 130-140 AV, recovered 102",,130,140,yes
,,,,,,,8.127,,,,8 AR,8,,,
,,,,,,,8.130,,,,AE,,,,
,,,,,,,8.142,,,,1491 AR,1491,,,
,,,,,,,8.145,,,,2+ AR,,2,,yes
,,,,,,,8.152,,,,100+ AR,,100,,yes 
,,,,,,,8.153,,,,"37 sigloi: ""from a recent near eastern hoard""",37,,,
,,,,,,,8.155,,,,53+ AR,,53,,yes
,,,,,,,8.157,,,,7 AR,7,,,
,,,,,,,8.158,,,,167 AR,,,,
,,,,,,,8.164,,,,15+,,15,,yes
,,,,,,,8.165,,,,41 AR,41,,,
,,,,,,,8.168,,,1654,11+ AV,,11,,yes
,,,,,,,8.172,,,,25 AR,25,,,
,,,,,,,8.173,,,,42 AR,42,,,
,,,,,,,8.178,,,,44+ AR,,44,,yes
,,,,,,,8.185,,,,175+ AR,,175,,yes
,,,,,,,8.186,,,,6 AR,6,,,
,,,,,,,8.187,,,,20+ AR,,20,,yes
,,,,,,,8.191,,,409,6 AV,6,,,
,,,,,,,8.193,,,,50+ AR,,50,,yes
,,,,,,,8.195,,,,"8 AR, excavation",8,,,
,,,,,,,8.197,,,397,"22 AR, 1 AE",23,,,
,,,,,,,8.198,,,,33 AR,33,,,
,,,,,,,8.201,,,,190 AR,190,,,
,,,,,,,8.203,,,,23 + AV,,23,,yes
,,,,,,,8.205,,,,3+ AV,,3,,yes
,,,,,,,8.207,,,,c. 50 AR,50,,,yes
,,,,,,,8.210,,,,109+,,,,yes
,,,,,,,8.212,,,859,200+ AR,,,,yes
,,,,,,,8.214,,,,"2 AV, 10 (13) AR, 70 AE; Tomb G",,82,85,
,,,,,,,8.217,,,,"1 AR, 64 AE, Tomb ST",65,,,
,,,,,,,8.220,,,,18 AR,18,,,
,,,,,,,8.221,,,,100+ AR,,100,,yes
,,,,,,,8.225,,,,23+ AR,,23,,yes
,,,,,,,8.230,,,836,20+ AR,,20,,yes
,,,,,,,8.236,,,,16 AR,16,,,
,,,,,,,8.238,,,,27+ AR,,27,,yes
,,,,,,,8.239,,,,"3 AR, 239 AE",242,,,
,,,,,,,8.247,,,1345,AR,,,,
,,,,,,,8.249,,,,164 AE,164,,,
,,,,,,,8.250,,,,200?+ AR,,200,,yes
,,,,,,,8.255,,,,81 AR,81,,,
,,,,,,,8.256,,,,27 AR,27,,,
,,,,,,,8.257,,,853,96+ AV pot hoard,,96,,yes
,,,,,,,8.261,,,,148 AV,148,,,
,,,,,,,8.266,,,1367,117+ AE,,117,,yes
,,,,,,,8.267,,,,48+ AR,,48,,yes
,,,,,,,8.268,,,,462+ AR,,462,,yes
,,,,,,,8.270,,,,"5 AR, jewellery and bronze vessels",5,,,
,,,,,,,8.271,,,,100+ AR,,100,,yes
,,,,,,,8.275,,,,"34+, part of a larger hoard",,34,,yes
,,,,,,,8.278,,,,329 AR,329,,,
,,,,,,,8.280,,,,,,,,
,,,,,,,8.281,,,,"101 AR, in excavation, in cloth bag

281 and 282 found together",101,,,
,,,,,,,8.282,,,,"117 AR, in excavation, pot hoard

Found with 281",117,,,
,,,,,,,8.293,,,,30 AR,30,,,
,,,,,,,8.294,,,,36+ AR,,36,,yes
,,,,,,,8.299,,,,618 AR,618,,,
,,,,,,,8.302,,,,353 AR,353,,,
,,,,,,,8.305,,,,83+ AR,,83,,yes
,,,,,,,8.311,,,,37? AR tetradr.,37,,,yes
,,,,,,,8.315,,,,133 AE,133,,,
,,,,,,,8.317,,,,190+ AR,,190,,yes
,,,,,,,8.318,,,245,171 AR,171,,,
,,,,,,,8.321,,,,43 AR,43,,,
,,,,,,,8.322,,,,12 AR,12,,,
,,,,,,,8.324,,,1369,"13 AV, 822 AR",835,,,
,,,,,,,8.333,,,,"212 AR, in two clay pots",212,,,
,,,,,,,8.341,,,,103+ AE,,103,,yes
,,,,,,,8.343,,,1313,,,,,
,,,,,,,8.346,,,,2+ AR,,2,,yes
,,,,,,,8.347,,,,c. 1470 AR,1470,,,yes
,,,,,,,8.348,,,,65 AR and 12 AR in two lots,,77,,yes
,,,,,,,8.353,,,,17 AR,17,,,
,,,,,,,8.358,,,,80? AE,80,,,yes
,,,,,,,8.366,,,,19+ AR,,19,,yes
,,,,,,,8.370,,,,463+ AR,,463,,yes
,,,,,,,8.374,,,,255? AR,255,,,yes
,,,,,,,8.376,,,,21 AR,21,,,
,,,,,,,8.392,,,,"1 AR, 19 AE",20,,,
,,,,,,,8.415,,,,"61 AR, pot hoard",61,,,
,,,,,,,8.416,,,,80-100 AE; pot hoard,,80,100,yes
,,,,,,,8.417,,,,c. 550+ AE,,550,,yes
,,,,,,,8.422,,,,55+ AR,,55,,yes
,,,,,,,8.423,,,,9+ AR,,9,,yes
,,,,,,,8.424,,,,60+ AR,,60,,yes
,,,,,,,8.426,,,,c. 1150 AR,1150,,,yes
,,,,,,,8.428,,,,28+ AR,,28,,yes
,,,,,,,8.431,,,,148+ AR,,148,,yes
,,,,,,,8.437,,,,42+ AR,,42,,yes
,,,,,,,8.439,,,,7+ AR,,7,,yes
,,,,,,,8.440,,,,64 AR,64,,,
,,,,,,,8.444,,,,172 AR,172,,,
,,,,,,,8.445,,,,606 AR,606,,,
,,,,,,,8.446,,,,"37 AR, pot hoard",37,,,
,,,,,,,8.447,,,,50 + AR (cistophoroi),,50,,yes
,,,,,,,8.451,,,,13 AE,13,,,
,,,,,,,8.452,,,,27+ AR,,27,,yes
,,,,,,,8.459,,,,25+ AR,,25,,yes
,,,,,,,8.461,,,,"Large numbers AR, AU?",,,,yes
,,,,,,,8.466,,,,16+ AR,,16,,yes
,,,,,,,8.471,,,,c. 200 AR (tetradr.),200,,,yes
,,,,,,,8.476,,,,10 AR,10,,,
,,,,,,,8.478,,,,8+ AR,,8,,yes
,,,,,,,8.481,,,,1000+ AR,,1000,,yes
,,,,,,,8.482,,,,30+ AR,,30,,yes
,,,,,,,8.484,,,,"505 AR, pot hoard",505,,,
,,,,,,,8.485,,,,274 AR,274,,,
,,,,,,,8.495,,,,68+ AR,,68,,yes
,,,,,,,8.498,,,,40 AR,40,,,
,,,,,,,8.503,,,,5 AE,5,,,
,,,,,,,8.505,,,,58 AR,58,,,
,,,,,,,8.508,,,,45+ AR,,45,,yes
,,,,,,,8.513,,,,20 AR,20,,,
,,,,,,,8.516,,,,5+ AR,,5,,yes
,,,,,,,8.519,,,,40+ AR,,40,,yes
,,,,,,,8.520,,,,88 AE,88,,,
,,,,,,,8.521,,,,"36 AR and 3 AE, late cistophoric, shipwreck pot hoard",39,,,
,,,,,,,8.524,,,,66 AR,66,,,
,,,,,,,8.525,,,,50+ AR,,50,,yes
,,,,,,,8.526,,,,98 AR,98,,,
,,,,,,,8.528,,,,81+ AE,,81,,yes
,,,,,,,8.534,,,,50+ AR,,50,,yes
,,,,,,,8.537,,,,65+ AR,,65,,yes
,,,,,,,8.539,,,,500+,,500,,yes
,,,,,,,8.542,,,,"19+ AR, in the sea, c. 6 metres depth",,19,,yes
,,,,,,,8.544,,,,10+ AR,,10,,yes
,,,,,,,8.561,,,856,,,,,
,,,,,,,8.576,,,,26 AR,26,,,
,,,,,,,8.577,,,,2+ AR,,2,,yes
,,,,,,,8.578,,,,10+ AR,,10,,yes
,,,,,,,8.595,,,1423,1945 AR,1945,,,
,,,,,,,8.599,,,,39+ AR ,,39,,yes
,,,,,,,,9.020,,32,8+ AU,,8,,yes
,,,,,,,,9.021,,,3+,,3,,yes
,,,,,,,,9.022,,43,11 AU 1 EL,12,,,
,,,,,,,,9.055,,,2AE,2,,,
,,,,,,,,9.083,,,40 AE,40,,,
,,,,,,,,9.084,,,"21 AE, in a tomb",21,,,
,,,,,,,,9.085,,,132 AR,132,,,
,,,,,,,,9.088,,408,"6 AU, pot hoard",6,,,
,,,,,,,,9.094,,409,6AV,6,,,
,,,,,,,,9.097,,,"9 AR, a pair of gold earrings and two gold rings, in excavations",9,,,
,,,,,,,,9.102,,47,"c. 80 EL and AU, pot hoard",80,,,yes
,,,,,,,,9.121,,,558-560 + 53 AR,,611,613,
,,,,,,7.064,,9.129,,,"92 AU, pot hoard in excavations",92,,,
,,,,,,,8.241,9.140,,,"CH 9: 1 AR, 1 AE",2,2,,
