CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Contents,Total count,Min. count,Max. count,Approximate
,,,,,6.046,7.134,,9.558,,,16-18 AR,,16,18,yes
,,,,,,,,9.559,,,409 AE,409,,,
,,,,,,,,9.560,,,177 AR,177,,,
,,,,,,,,9.564,,,47 AR,47,,,
,,,,,,,,9.565,,,c. 6000+ (56+ kg) AE found in a pot,,6000,,yes
,,,,,,,8.536,9.568,,,65 AR pot hoard in excavations,65,,,
,,,,,,,,9.570,,1360,35 AR,35,,,
,,,,,,,8.546,9.573,,,60+ AR,,60,,yes
,,,,,,,,9.574,,,13+ AR,,13,,yes
,,,,,,,,9.579,,,31 AR,31,,,
,2.127,,,,,7.146,,9.582,,,12+ AR,,12,,yes
,,,,,,,,9.583,,,19+AR,,19,,yes
,,,,,,7.010,,9.596,,1874,c. 600 AR,600,,,yes
,,,,,,,,9.670,,2232,177 AR,177,,,
,,,,,,,,9.689,,,121 AR,121,,,
,,,,,,,,9.710,,,76 AR,76,,,
,,,,,,,,,10.019,,99 EL pot hoard in excavation,99,,,
,,,,,,,,,10.031,,12 AR,12,,,
,,,,,,,,,10.032,,56 AR,56,,,
,,,,,,,,,10.034,,4 AU,4,,,
,,,,,,,,,10.040,,80 AU,80,,,
,,,,,,,,,10.041,,c. 900 AE,900,,,yes
,,,,,,,,,10.044,,2 AU in excavation,2,,,
,,,,,,,,,10.045,,3 AR,3,,,
,,,,,,,,,10.046,,10 AU,10,,,
,,,,,,,,,10.048,,15 AR,15,,,
,,,,,,,,,10.050,,77 AR?,77,,,yes
,,,,,,,,,10.054,,206 AR,206,,,
,,,,,,,,,10.055,,100 AR,100,,,
,,,,,,,,,10.060,,5 + AU,,5,,yes
,,,,,,,,,10.067,138,32 AR,32,,,
,,,,,,,,,10.068,444,157 AR,157,,,
,,,,,,,,,10.069,,51 AR,51,,,
,,,,,,,,,10.070,,21 AR in excavation,21,,,
,,,,,,,,,10.073,,15 AR,15,,,
,,,,,,,,9.162,10.074,,"1 AR, 22 AE",23,,,
,,,,,,,,,10.081,,130-140 AU,,130,140,yes
,,,,,,,,,10.106,,93 AR pot hoard,93,,,
,,,,,,,,,10.111,,"1 AU, 1 AR, 6 AE in excavation",8,,,
,,,,,,,,,10.115,,12+ AR,,12,,yes
,,,,,,,,,10.116,860,18 + AR,,18,,yes
,,,,,,,,,10.162,,14+ AR,,14,,yes
,,,,,,,,,10.165,,5 + AR?,,5,,yes
,,,,,,,,,10.166,,24 AE in excavation,24,,,
,,,,,,,,,10.171,,"2,749 AE, 19 AR in two AE vases",2768,,,
,,,,,,,,,10.199,,36 +EL,,36,,yes
,,,,,,,,,10.200,,39+ EL,,39,,yes
,,,,,,,,9.341,10.201,,44+EL,,44,,yes
,,,,,,7.008,,,10.202,,81 AR,81,,,
1.003,,,,,,,,,10.203,,983 AR,983,,,
,,,,,,,,,10.204,,22+ electrum,,22,,yes
,,,,,,,,,10.205,1789,"5 AR, 8 AU",13,,,
,,,,,,,,,10.207,,13 AR,13,,,
,,,,,,,,,10.208,,58 AR,58,,,
,,,,,,,,,10.210,,9+ AR,,9,,yes
,,,,,,,,9.352,10.211,,19+ AR,,19,,yes
,,,,,,,8.048,,10.212,,1900 AR,1900,,,
,,,,,,,,,10.213,,19+ AR,,19,,yes
,,,,,,,,,10.214,1251,,,,,
,,,,,,,,,10.215,,17 AR,17,,,
,,,,,,,,,10.217,,1000+ AE,,1000,,yes
,,,,,,,,,10.220,,77 AR,77,,,
,,,,,,,,,10.221,,11 AR,11,,,
,,,,,,,,,10.222,,21 AR,21,,,
,,,,,,,,,10.223,1225,146 AR,146,,,
,,,,,,,8.058,,10.225,,"2000-3000 AR, found during routine agricultural work",,2000,3000,yes
,,,,,,,,,10.227,,59 AR,59,,,
,,,,5.022,6.013,,,,10.228,,6 AU,6,,,
,,,,5.017,,,8.096,9.387,10.229,,338+ AR,,338,,yes
,,,,,,,,,10.230,,149 AR pot hoard in excavation,149,,,
,,,,,,,,,10.231,1210,,,,,
,,,,,,,8.027,9.411,10.232,,6000+ AR,,6000,,yes
,,,,,,,,9.410,10.233,,450 AR,450,,,
,,,,,,,,,10.234,,34 AR,34,,,
,,,,,,,,,10.236,,65 AR,65,,,
,,,,,,,,,10.238,,43+ AR,,43,,yes
,,,,,,,,,10.239,,46+ AR,,46,,yes
,,,,,,,,9.423,10.240,1215,c. 200 AR,200,,,yes
,,,,,,,,9.421,10.241,,c. 2600 AR,2600,,,yes
,,,,,,,,,10.242,,26 AR and jewellery,26,,,
,,,,,,,,,10.244,,475 AR,475,,,
,,,,,,,,,10.245,,190 AR,190,,,
,,,,,,,,,10.246,,73 AR,73,,,
,,,,,,,,,10.247,,42 AU,42,,,
,,,,,,,,,10.249,,164 AE in excavation,164,,,
,,,,,,,,,10.250,,248 AU,248,,,
,,,,,,,,,10.251,,190 AR,190,,,
,,,,,,,,,10.252,,c. 900+ AR,,900,,yes
,,,,,,,,,10.254,,28+ AR,,28,,yes
,,,,,,,,,10.255,,AE,,,,
,,,,,,,,,10.261,,35 AR,35,,,
,,,,,,,,,10.262,,32 AE,32,,,
,,,,,,,,,10.263,,32 AR,,,,
,,,,,,,,,10.265,,5000+ AR,,5000,,yes
,,,,,,,,,10.267,,7 AE in a tomb,7,,,
,,,,,,7.080,8.308,,10.269,,"found in 3 pots: 5216 AR
Pot A: 2298 AR
Pot B: 786 AR
Pot C: 1 131 AR",5216,,,
,,,,,,,,,10.270,,"1 AR, 227 AE",228,,,
,,,,,,7.061,,,10.271,,276 AR,276,,,
,,,,,,,,,10.272,,6500 AR,6500,,,
,,,,,,,,,10.273,,c. 500 AE,500,,,yes
,,,,,,,,,10.275,,c. 230 AR,230,,,yes
,,,,,,,,,10.276,1311,106 AR,106,,,
,,,,,,,,,10.277,,77-81 AR,,77,81,yes
,,,,,,,,,10.278,,19 AR,19,,,
,,,,,,,,,10.279,,c. 100 AR,100,,,yes
,,,,,,,,,10.280,1308,340 AR,340,,,
,,,,,,,,,10.282,1344,283+ AR,,283,,yes
,,,,,,,,,10.283,,225 AE,225,,,
,,,,,,,,,10.284,,8 AE,8,,,
,,,,,,,,,10.285,,32 AE,32,,,
,,,,,,,,,10.286,,12 AE,12,,,
,,,,,,,,,10.287,,23 AE,23,,,
,,,,,,,,,10.288,,61+ AR,,61,,yes
,2.081,,,,,,,,10.289,,90 AR,90,,,
,,,,,,,,,10.290,1341,70 AR,70,,,
,2.084,,,,,,,,10.291,1342,110 AR,110,,,
,,,,,,,,,10.292,,800 AR,800,,,
,,,,,,,,,10.293,,19AR,19,,,
,,,,5.043,6.034,,,,10.294,,500 + AR,,500,,yes
,,,,,,,,,10.295,,c. 40 AR,40,,,yes
,,,,,,,,,10.298,,45 AR,45,,,
,,,,,,,,,10.299,,56 AE in excavation,56,,,
,,,,,,,,9.525,10.300,,53 AR,53,,,
,,,,,,,,,10.301,,"529 AR, 3 AU",532,,,
,,,,,,,,,10.302,,7+ AR,,7,,yes
,,,,,,,,,10.304,,53 AR pot hoard,53,,,
,,,,,,,,9.515,10.305,1335,220 AR,220,,,
,,,,,,,,9.527,10.308,,1916 AR,1916,,,
1.087,2.090,,,,6.038,,8.460,,10.310,,5000 AR,5000,,,
,,,,,,,8.490,,10.317,,142 ? AE and AR found in cella of temple of Leto,142,,,yes
,,,,,,,,,10.319,,327 AE,327,,,
,,,,,,,,,10.320,,25+ AE,,25,,yes
,,,,,,,,,10.323,1786,537+ AR,,537,,yes
,,,,,,,,9.538,10.324,1357,CH 10: 350+ AR,,350,,yes
,,,,,,,,,10.325,,409 AE,409,,,
,,,,,,,,,10.326,,10 AR,10,,,
,,,,,,,,,10.327,1435,200 +AR,,200,,yes
,,,,,,,,9.523,10.328,,25 + AR,,25,,yes
,,,,,,,,,10.329,,2068 AR,2068,,,
,,,,,,,,,10.330,,25 AR,25,,,
,,,,,,,,,10.331,1419,99 AR,99,,,
,,,,,,,,,10.332,,50 AE,50,,,
,,,,,,,,,10.333,,41 AE,41,,,
,,,,,,,,,10.334,,27 AE,27,,,
,,,,,,,,,10.335,,‘Hundreds’ AR,,200,,yes
,,,,,,,,,10.336,,91 AR,91,,,
,,,,,,,,,10.337,,47+ AR,,47,,yes
,,,,,,,,,10.338,,24 AR,24,,,
,,,,,,,,,10.341,,36 AR,36,,,
,,,,,,,,,10.343,,8 AR,8,,,
,,,,,,,,,10.344,,46 AR,46,,,
,,,,,,,,,10.356,,86 AE,86,,,
,,,,,,,,,10.357,,30 AE,30,,,
,,,,,,,,,10.358,,5 AR,5,,,
,,,,,,,,,10.360,1465,c. 500 AR,500,,,yes
,,,,,,,,,10.430,,AR,,,,
,2.017,,4.011,,,,8.044,9.680,10.435,1644,900 AR,900,,,
,,,,,,,,,10.436,1645,84 AR with 18 dumps & bars,84,,,
,,,,,,,,,10.437,,19 AR + ingots,19,,,
,,,,,,,,8.375|8.411,10.469,,,,,,
1.002,,3.001,,,,,,,,1161,49+ EL,,49,,yes
1.006,,,,,,,8.040,9.351,,,107 AR,107,,,
1.020,,,,,,,,,,,31+ EL,,31,,yes
,2.023,,,,,,,,,,5+ EL,,5,,yes
1.022,,3.015,,,,,,,,,125+ EL,,125,,yes
1.026,,,,5.019,,,,,,,34 AR (CH 5: 9+ AR),34,,,
1.038,,2.049,,,,,8.188,,,,300 + AR,,300,,yes
3.026,1.045,2.053,,,,,,,,,206 AE (pot hoard),206,,,
,,,,,6.023,7.068,,,,150,thousands AR,,2000,,
1.085,,,,,,,8.414,,,,CH 8: 8+ AR,,8,,yes
,,,,,,,8.492,,,,at least 34 AR,,34,,yes
1.090,,,,,,,,,,,75+ AR,,75,,yes
1.091,,,,,,,,,,,266+ AR,,266,,yes
,1.093,3.044,,,,,,,,958,800 AU,800,,,
,2.127,,,,,7.146,,,,,12+ AR,,12,,yes
,2.018,,,5.003,,,,,,,20+ AR,,20,,yes
,2.055,,,,,7.053,,,,1670,438+ AR (+ 32),,470,,yes
,2.068,,,,,,8.287,,,,112+ AR,,112,,yes
,2.070,,,,,,8.312,,,,c. 62 AU,62,,,yes
,2.072,3.043,,,,,,,,,38+ AR,,38,,yes
,2.088,,,,,,,,,,150 + AR,,150,,yes
,,3.053,,,,,,,,,63+ AR,,63,,yes
,,3.014,4.016,,,,,,,,40+ AR,,40,,yes
,,3.016,,,,,8.105,,,,196 AR,196,,,
,,3.030,,,,,8.227,,,,75+ AR,,75,,yes
,,3.069,4.067,,,,,,,1350,750+ AE,,750,,yes
,,3.080,,,,,8.532,9.569,,,129 AR,129,,,
,,,,5.021,6.012,,,,,,30+ AU,,30,,yes
,,,,5.042,6.035,,,,,,450+ AR pot hoard,,450,,yes
,,,,,6.032,7.082,8.340,,,,"14 AR, in metal pot",14,,,
,,,,,6.037,7.098,8.433,9.511,,,586 AR,586,,,
,,,,,6.004,7.012,8.045,,,,70 AR and ingots,70,,,
,,,,,,7.016,,,,,5+ AR,,5,,yes
,,,,,,7.021,8.049,,,1184,,,,,
,,,,,,7.102,8.443,,,,70+ AE,,70,,yes
