IGCH,"Type URI","Quantity (Certain)","Quantity (Uncertain)",Notes,"To check","Additional Notes"
igch1156,https://greekcoinage.org/iris/id/colophon_kim_kroll_2008_tweflth_twentyfourth,4,,,,
igch1162,https://greekcoinage.org/iris/id/sardes_carradice_1987_croeseid_a_light_au,30,,,,
igch1163,https://greekcoinage.org/iris/id/camirus_bmc_2-11,6,4+,,,
igch1164,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,1,1-7+,,,
igch1164,https://greekcoinage.org/iris/id/miletus_babelon_1907_430,2,1-7+,,,
igch1165,https://greekcoinage.org/iris/id/athens.seltman_1924.d.69-70.73.81,1,,"Nos. 48-51",,
igch1165,https://greekcoinage.org/iris/id/athens.seltman_1924.b.20,2,,"Nos. 48-51",,
igch1165,https://greekcoinage.org/iris/id/athens.seltman_1924.p.167.obol,1,,"Nos. 48-51",,
igch1165,https://greekcoinage.org/iris/id/carthaea_sheedy_2006_i,1,,"No. 16",,
igch1165,https://www.corpus-nummorum.eu/types/3548,2,,"Nos. 46-47",,
igch1165,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_iii_ar,1,,"No. 3",,
igch1165,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_v,1,,"No. 2",,
igch1165,https://greekcoinage.org/iris/id/miletus_babelon_1907_430,2,,"Nos. 4-6",,
igch1165,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,1,,"Nos. 4-6",,
igch1165,https://greekcoinage.org/iris/id/phocaea_babelon_1907_530,12,,"Nos. 30-41",,
igch1165,https://greekcoinage.org/iris/id/teos_morkholm_1971_21-5,5,,"Nos. 21-25 not in Balcer 1968 (?) but attributed by Mørkholm",,
igch1165,https://greekcoinage.org/iris/id/teos_balcer_1968_i.i-xxxii,4,,"Nos. 26-29",,
igch1165,https://greekcoinage.org/iris/id/chios_hardwick_1991_chian_525-494,1,,"No. 15",,
igch1165,https://greekcoinage.org/iris/id/cos_stefanaki_2012_2.4,1,,"No. 57; not in Stefanaki 2012?",,
igch1165,https://greekcoinage.org/iris/id/ionia_bmc_samos_9,2,,"Nos. 19-20",,
igch1165,https://greekcoinage.org/iris/id/mylasa_sng_kayhan_i_934-8,2,,"Nos. 13-14—currently (mis?)attributed to Mylasa but cf. Hilbert Electrum for identical type",,
igch1165,"Uncertain value, Silver, hemidrachm [lion forepart l. paw raised / incuse]",4,,"Nos. 42-45 [Chersonesus?]",,
igch1165,"Uncertain value, Silver, Hemiobol? [face / quad. incuse]",1,,"No. 75",,
igch1165,"Uncertain value, Silver, 4ob, 3ob, 2ob [lion head l. / quad. incuse]",6,,"Nos. 58–64",,
igch1165,"Uncertain value, Silver, Hemiobol? [triskeles swirl / incuse]",4,,"Nos. 65–68",,
igch1165,"Uncertain value, Silver, Hemiobol? [rosette / incuse]",3,,"Nos. 69–71",,
igch1165,"Uncertain value, Silver, Diobol? [boar forepart l. / incuse]",1,,"No. 72",,
igch1165,"Uncertain value, Silver, Hemiobol/tetart. [animal head l. / incuse]",2,,"Nos. 73–74",,
igch1165,https://greekcoinage.org/iris/id/phocis_league.hoover_2014.1022,1,,Uncertain,,
igch1165,https://greekcoinage.org/iris/id/scione.sng_ans.703-5,4,,"Nos. 53-56; attribution doubted by Mørkholm",,
igch1165,"Uncertain mint (Calymna?), Silver",6,,"Nos. 7-12; no types in ARCH, but BnF specimens (mis?)attributed to Wartenberg 1998 1 are the same type",,
igch1165,https://greekcoinage.org/iris/id/iasos_ashton_2007_pl.7.2,1,,"Nos. 17-18; Attribution doubted by Mørkholm",,
igch1165,https://greekcoinage.org/iris/id/iasos_ashton_2007_pl.7.1,1,,"Nos. 17-18; Attribution doubted by Mørkholm",,
igch1167,https://greekcoinage.org/iris/id/clazomenae_dengate_1967_ib,12,,"Can't access RN 1911 for original hoard publication",,
igch1168,"Cyzicus, Silver, Fraction",,1,,,
igch1168,"Ephesus, Silver, Fraction",,2,,,
igch1168,"Magnesia ad Maeandrum, Silver, Fraction",,[uncertain],,,
igch1168,"Miletus, Silver, Fraction",,18,,,
igch1168,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,2,1-18+,"Pfeiler 1966 gives cursory description of 22 of these but far from certain what is what!",,
igch1168,https://greekcoinage.org/iris/id/miletus_babelon_1907_430,2,1-18+,"Pfeiler 1966 gives cursory description of 22 of these but far from certain what is what!",,
igch1168,"Uncertain value, Silver, Fraction",,3,,,
igch1168,"Eretria, obol (bucranium obv.; four-part incuse rev.)",,1,"Welz 1965 and Pfeiler 1966 both attribute to Eretria, but can't find in ARCH; no illus.",,
igch1171,"Chios, Silver, Didrachm",,4,,"Hardwick 1991",
igch1172,https://greekcoinage.org/iris/id/athens.seltman_1924.m.g.c,2,[uncertain],,,
igch1172,"Chios, Silver, Didrachm",1,,"Mavrogordato 1915 Pl. I 10","Hardwick 1991",
igch1172,"Chios, Silver, Didrachm",6,[uncertain],"Mavrogordato 1915 Pl. II 4–6","Hardwick 1991",
igch1173,https://greekcoinage.org/iris/id/mende.noe_1926.1,1,,"Head 1891 says = BM Guide Pl. IV.8; I think this is right",,
igch1173,https://greekcoinage.org/iris/id/peparethus.balcer_1967.i.1,1,,"Balcer 1967 + Head 1891 (attribured to Cyrene)",,
igch1173,https://greekcoinage.org/iris/id/peparethus.balcer_1967.i.2,1,,"Balcer 1967 + Head 1891 (attribured to Cyrene)",,
igch1173,https://greekcoinage.org/iris/id/peparethus.balcer_1967.ii.3,1,,"Balcer 1967 + Head 1891 (attribured to Cyrene)",,
igch1173,https://greekcoinage.org/iris/id/athens.seltman_1924.f.e,1,,"Head 1891 says = BMC Attica Pl. I.5 = BMC 5",,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_a,4,,,,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_b.1-12,4,,,,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_c.14-6,1,,"This coin",,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_c.17-20,6,,,,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_c.21-4,7,,,,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_c.25,2,,,,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_c.26-7.9,4,,"3 from Cahn 1970; 1 this coin",,
igch1174,https://greekcoinage.org/iris/id/chersonesus_cariae_cahn_1970_c.28,1,,,,
igch1174,"Chersonesus, Caria, Silver, Hemidrachm?",1,,"Not in Cahn 1970?; this coin",,
igch1174,"Cnidus, Silver, Fraction",,[uncertain],"""early fr.""; Cahn 1970 no further details; do all early groups have fractions?",,
igch1175,"Cyzicus, Silver, Fraction",1,,"Carradice 1987, 81n36: 13 of the 14 are not Kyzikene",,
igch1175,https://greekcoinage.org/iris/id/phocaea_babelon_1907_532,13,,"Same ""Uncertain Ionia"" types as in Bayraklı Hoard (IGCH 1166/CH 9.344) [=SNG Delep. 2699, SNG vA. Ionia 1 1813–1815, SNG vA. Ionia 2 7802]",,
igch1175,"Miletus, Silver, Fraction",3,,,,
igch1175,https://greekcoinage.org/iris/id/sardes_carradice_1987_croeseid_b_ar,6,,,,
igch1175,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_ii_siglos,1,,,,
igch1175,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iiia_siglos,38,,,,
igch1177,https://greekcoinage.org/iris/id/messana.barron_1966.p_178-180,1,,"No. 1",,
igch1177,"Acanthus, Silver, Tetradrachm",1,,"No. 2 Tselekas periods B–C?","Tselekas 1996",
igch1177,https://www.corpus-nummorum.eu/types/cn.abdera_thrace.1_ed.26,1,,"No. 3",,
igch1177,https://greekcoinage.org/iris/id/athens.seltman_1924.m.g.c,18,,"Nos. 4–17, 19–22; no. 9 die-links into Seltman Group M",,
igch1177,https://greekcoinage.org/iris/id/athens.seltman_1924.f.e,1,,"No. 18",,
igch1177,https://greekcoinage.org/iris/id/aegina.meadows_askari.2a-c,1,,"Nos. 23; Meadows and Askari, forthcoming; 2a–c based on date?",,
igch1177,https://greekcoinage.org/iris/id/aegina.meadows_askari.2a-c,2,,"Nos. 24–25",,
igch1177,https://greekcoinage.org/iris/id/aegina.meadows_askari.2a-c,7,,"Nos. 26–32",,
igch1177,"Silver, Didrachm",1,,"No. 33 ""Pseudaeginetica""?",,
igch1177,https://greekcoinage.org/iris/id/corinth.calciati.1990.period_i.class_2,1,,"No. 34",,
igch1177,https://www.corpus-nummorum.eu/types/20010,1,,"No. 35",,
igch1177,"Chios, Silver, Didrachm",1,,"No. 36","Hardwick 1991",
igch1177,https://greekcoinage.org/iris/id/mylasa_babelon_1907_735-40,1,,"No. 37",,
igch1177,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iiia_siglos,1,,"No. 38",,"ARCHAIC ENDS"
igch1180,https://greekcoinage.org/iris/id/caunus_konuk_1998_ii,86,,,,"CLASSICAL STARTS"
igch1180,https://greekcoinage.org/iris/id/uncertain_caria_b_konuk_2007_m33-6,22,14+,"NB: This surely should be subsumed under this type? Robinson 1936 does not mention the 14+ other specimens",,"Incidentally, the BnF coin here is incorrectly attributed"
igch1180,https://greekcoinage.org/iris/id/caria_robinson_1936_13,1,,"Robinson 1936, Pl. XIV, 13",,
igch1180,https://greekcoinage.org/iris/id/phaselis_heipp-tamer_1993_4,1,,,,
igch1180,https://greekcoinage.org/iris/id/caria_robinson_1936_14,1,,"Robinson 1936, Pl. XIV, 14",,
igch1181,https://greekcoinage.org/iris/id/uncertain_caria_sng_von_aulock_2343,1,6+,"ANS coin has winged male [unillustrated], hence Uncertain B; but rev. doesn't match? Konuk 1998 says there's one Kaunian coin in here too",,
igch1182,"Abdera, Thrace, Silver, Octadrachm",,1,"Presumably a Period 2 8dr (May 1966) but God knows what it is in CN—new parent type?",,
igch1182,"Thasos, Silver, Didrachm",,1,,,
igch1182,"Acanthus, Silver, Tetradrachm",,[uncertain],,"Tselekas 1996",
igch1182,"Silver, Octadrachm",,5+,,,
igch1182,"Panticapaeum, Silver, Drachma",,1,,,
igch1182,"Athens, Silver, Tetradrachm",,[uncertain],,,
igch1182,"Aegina, Silver, Didrachm",,2,,,
igch1182,"Ephesus, Silver, Drachma",,1,,,
igch1182,"Phaselis, Silver, Double siglos",,1,"Not in Heipp-Tamer 1993; presumably Series 4 based on date?",,
igch1182,"Uncertain value, Silver, Stater",,3,,,
igch1183,https://www.corpus-nummorum.eu/types/11243,1,,"No. 93 Kraay; needs parent type = Fritze 1914 Group II?",,
igch1183,https://www.corpus-nummorum.eu/types/20593,2,,"Nos. 35–36 Varoucha (CN parent type needed? = Babelon pl. XVI 15)",,
igch1183,https://greekcoinage.org/iris/id/cyme_aeolis_babelon_1910_2058,1,,"No. 92 Kraay",,
igch1183,"Clazomenae?, Silver, Hemiobol [3/4 head Apollo, quadr. incuse]",13,,"Nos. 31–40 Kraay (reattributed from Colophon to Clazomenae); Nos. 15–17 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/colophon_milne_1941_period_i_half-obol,6,,"Nos. 1–4 Kraay; Nos. 3–4 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/colophon_milne_1941_period_i_quarter-obol,36,,"Nos. 5–30 Kraay; Nos. 5–14 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/colophon_milne_1941_period_ii_third-obol,6,,"Nos. 62–64 Kraay; Nos. 21–23 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/colophon_milne_1941_period_ii_quarter-obol,26,,"Nos. 65–82 Kraay (Nos. 83–91 excluded as later interpolation, per IGCH); Nos. 24–31 Varoucha (No. 32 excluded)",,
igch1183,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_iii_ar,1,,"No. 94 Kraay (uncertain)",,
igch1183,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_iv,3,,"Nos. 95–96 Kraay; No. 33 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_iii_ar,1,,"No. 97 Kraay (uncertain—may be Series IIIa?)",,
igch1183,https://greekcoinage.org/iris/id/ephesus_kinns_holt_2023.ii.ar.ix,3,,"Nos. 98–100 Kraay—must be later intrusion",,
igch1183,https://greekcoinage.org/iris/id/ephesus_kinns_holt_2023.ii.ar.x,1,,"No. 101 Kraay—must be later intrusion",,
igch1183,"Ephesos, Silver, Uncertain value",1,,"No. 34 Varoucha: ""Ἔφεσος (;) ἐφθαρμένον"" (p. 6), no illus.",,
igch1183,https://greekcoinage.org/iris/id/erythrae_babelon_1910_erythrae_1976,1,,"No. 102 Kraay",,
igch1183,"Magnesia?, Silver, Hemiobol [head r., quadr. incuse]",24,2,"Nos. 41–61 Kraay (reattributed from Colophon to Magnesia); Nos. 18–20 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/miletus_babelon_1907_434,2,,"No. 103 Kraay; No. 37 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/phocaea_babelon_1907_515-20,1,,"No. 104 Kraay; uncertain this is the right type",,
igch1183,https://greekcoinage.org/iris/id/teos_balcer_1968_ii.xxxv-lxxiii,4,,"Nos. 108–110 Kraay; No. 49 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/teos_balcer_1968_ii.lxxiv-lxxv,34,,"Nos. 112–134 Kraay; Nos. 38–48 Varoucha",,
igch1183,https://greekcoinage.org/iris/id/samos_barron_1966_hektai_a,1,,"No. 107 Kraay",,
igch1183,https://greekcoinage.org/iris/id/magnesia_ad_maeandrum_nolle_andwenninger_th.6,1,,"No. 137 Kraay",,
igch1183,"Uncertain Silver Fraction (Caria?) [lion forepart / incuse astral?]",1,,"No. 138 Kraay [not illustrated]",,
igch1183,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_ii_siglos,1,,"No. 135 Kraay",,
igch1183,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iiia_siglos,1,,"No. 136 Kraay",,
igch1183,"Unknown Silver [bucranium / quad. incuse]",1,,"No. 140 Kraay",,
igch1183,"Unknown Silver [chicken / incuse]",3,,"Nos. 50–52 Varoucha [Babelon pl. LXXXI 7, p. 1578; cf. some types in Auriol hoard?)",,
igch1186,https://greekcoinage.org/iris/id/cnidus_cahn_1970_i,,2000,"Cahn 1970, 2–3 estimates total at ca. 2,000 and says hoard ends at Series IV; no further detail",,
igch1186,https://greekcoinage.org/iris/id/cnidus_cahn_1970_ii,,,,,
igch1186,https://greekcoinage.org/iris/id/cnidus_cahn_1970_iii,,,,,
igch1186,https://greekcoinage.org/iris/id/cnidus_cahn_1970_iv,,,,,
igch1187,https://greekcoinage.org/iris/id/methymna_franke_1975_1-3,6,uncertain,"Franke 1975, 163 briefly discusses hoard but without certain numbers; Berlin, Boston and London disposition accounted for (43 in Istanbul); Franke 1975 1f, 2a (=Dressel 1898), 3a and 3b; Montagu 1892 p33; Greenwell 1893, p89",,
igch1187,https://greekcoinage.org/iris/id/methymna_franke_1975_4,5,41+,"Franke 1975 4a, 4b, 4h; Montagu 1892, p34; Greenwell 1893, p90",,
igch1187,https://greekcoinage.org/iris/id/methymna_franke_1975_5-6,3,6+,"Franke 1975 5c and 5j; Montagu 1892, p34; Greenwell 1893, p90",,
igch1188,"Cyzicus, Silver, Fraction",,1,,,
igch1188,"Lampsacus, Silver, Fraction",,2,,,
igch1188,"Cebren, Silver, Fraction",,11,,,
igch1188,"Neandria, Silver, Fraction",,1,,,
igch1188,"Scepsis, Silver, Fraction",,1,,,
igch1188,"Tenedos, Silver, Fraction",,2,,,
igch1188,"Aegae, Aeolis, Silver, Fraction",,1,,,
igch1188,"Mytilene, Silver, Fraction",,1,,,
igch1188,"Teos, Silver, Fraction",,1,,,
igch1188,"Uncertain value, Silver, Fraction",,1,,,
igch1189,"Athens, Silver, Fraction",,1,"https://digi.ub.uni-heidelberg.de/diglit/cahn1931_10_14bd2/0063/image,info",,
igch1189,"Clazomenae, Silver, Fraction",,2,,,
igch1189,"Colophon, Silver, Fraction",,5,,,
igch1189,"Magnesia ad Maeandrum, Silver, Fraction",,2,,,
igch1189,"Teos, Silver, Fraction",,1,,,
igch1190,"Teos, Silver, Stater",,1,"Could be this type, based on rest of hoard contents and Balcer 1968?",,
igch1190,https://greekcoinage.org/iris/id/phocaea_babelon_1907_523-9,1,,"Acquired by BM: 1938,1007.18X",,
igch1190,https://greekcoinage.org/iris/id/teos_balcer_1968_i.xxxiii-xxxiv,1,,"Acquired by BM: 1938,1007.18X",,
igch1190,"Uncertain value, Silver, Fraction",,1,"Is that this coin? Matches accession number of Colophon coins",,
igch1190,https://greekcoinage.org/iris/id/colophon_milne_1941_period_i_quarter-obol,3,,"Acquired by BM: 1938,1007.18X",,
igch1190,https://greekcoinage.org/iris/id/colophon_milne_1941_period_ii_half-obol_quarter-obol,2,,"Acquired by BM: 1938,1007.18X",,
igch1190,https://greekcoinage.org/iris/id/colophon_milne_1941_period_ii_quarter-obol,1,,"Acquired by BM: 1938,1007.18X",,
igch1191,"Chios, Silver, Didrachm (ca. 490)",4,,,"Hardwick 1991",
igch1191,"Chios, Silver, Didrachm (478–412)",11,,,"Hardwick 1991",
igch1191,"Chios, Silver, Tetrobol (478–412)",44,,,"Hardwick 1991",
igch1192,https://greekcoinage.org/iris/id/lesbos_babelon_1907_551-3,1,uncertain,,,
igch1192,https://greekcoinage.org/iris/id/lesbos_babelon_1907_607-8,3,uncertain,,,
igch1193,https://greekcoinage.org/iris/id/cnidus_cahn_1970_v,7,64+,"Cahn 1970, Appendix B lists these new additions in trade under Series V-VI, presumably all from this hoard",,
igch1193,https://greekcoinage.org/iris/id/cnidus_cahn_1970_vi,29,uncertain,,,
igch1194,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iiib_early_daric,1,"""several""",,,
igch1195,"Miletus, Silver, Obol",,21,,,
igch1195,"Ialysus, Silver, Obol",,1,,,
igch1196,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,3,11+,"IGCH lists disposition Stockholm; SNG Swe 1 has only 3 (nos. 91, 92, 465), but all of this type",,
igch1198,https://greekcoinage.org/iris/id/samos_barron_1966_class_ix_tetradrachms_drachms,10,uncertain,,,
igch1199,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,11,uncertain,"Pfeiler SM 1962 distinguishes this from 6C ""Archaic"" type; ARCH does not seem to distinguish these",,
igch1199,https://greekcoinage.org/iris/id/hecatomnus_troxell_1984_1,8,uncertain,,,
igch1199,https://greekcoinage.org/iris/id/salamis_cyprus.sng.copenhagen.39-41,5,uncertain,,,
igch1200,https://greekcoinage.org/iris/id/cnidus_cahn_1970_ii,1,uncertain,"Cahn 45.4",,
igch1200,https://greekcoinage.org/iris/id/cnidus_cahn_1970_v,1,uncertain,"Cahn 90.1",,
igch1200,https://greekcoinage.org/iris/id/cnidus_cahn_1970_vi,10,uncertain,"Cahn 97.5, 99.5, 100.4, 105.1, 106.3, 107.1, 112.2, 114.3, 115.2, 115.5",,
igch1202,"Chersonesus, Caria, Silver, Drachma",,13+,,,
igch1202,"Chersonesus, Caria, Silver, Fraction",,6+,,,
igch1202,"Cnidus, Silver, Drachma",,uncertain,,,
igch1202,"Cnidus, Silver, Fraction",,uncertain,,,
igch1202,"Rhodes, Silver, Hemidrachm",,uncertain,,,
igch1202,"Uncertain value, Silver, Fraction",,uncertain,"as Traité pl. 155, 19 [Clazomenae] (see here) looks like either Kebren or Klazomenai I.H. (typological description wrong in ARCH?) or I.O.",,
igch1203,"Athens, Silver, Triobol",,1,,,
igch1203,https://greekcoinage.org/iris/id/chios_hardwick_1991_chian_435-425,92,,,"Hardwick 1991",
igch1203,https://greekcoinage.org/iris/id/samos_barron_1966_class_x_tetradrachms,5,,,,
igch1203,https://greekcoinage.org/iris/id/rhodes_ashton_2001_11-12,135,uncertain,"""135 early Rhodian hemidrachms from all but one of the 13 varieties known""",,
igch1203,https://greekcoinage.org/iris/id/rhodes_ashton_2001_13-24,,uncertain,"""135 early Rhodian hemidrachms from all but one of the 13 varieties known""",,
igch1204,"Abydus, Silver, Tetradrachm",,1,"""Doubtful"" that this was part of the hoard; earliest 4drs of Abydos are this type, somewhat later than presumed burial date",,
igch1204,https://greekcoinage.org/iris/id/rhodes_ashton_2001_28-56,,15,"Presumably this type if hoard buried ca. 380 and they're all 4drs? If the Abydos coin isn't intrusive, then this type? Potentially even this type",,
igch1205,https://greekcoinage.org/iris/id/hecatomnus_caria_konuk_1998_a1,2,[uncertain],"One obol and one drachm; both same ""type"" in ARCH",,
igch1206,https://greekcoinage.org/iris/id/hecatomnus_caria_konuk_1998_a4,2,[uncertain],"One type ΕΚΑ, other ΚΙΜ; both same ""type"" in ARCH",,
igch1207,https://greekcoinage.org/iris/id/samos_barron_1966_class_x_tetradrachms,1,uncertain,,,
igch1207,https://greekcoinage.org/iris/id/hecatomnus_caria_konuk_1998_a1,2,uncertain,,,
igch1207,https://greekcoinage.org/iris/id/cos_stefanaki_2012_4.7,1,,,,
igch1208,https://greekcoinage.org/iris/id/samos_barron_1966_pl.xxxi.1,,3000,,,
igch1212,"Cyzicus, Silver, Tetradrachm",,10,,,
igch1212,"Lampsacus, Silver, Diobol",,12+,,,
igch1212,"Ephesus, Silver, Tetradrachm",,20+,,,
igch1213,https://greekcoinage.org/iris/id/ephesus_kinns_holt_2023.ii.ar.xiv,13,4,"Nos. 1–17",,
igch1213,https://greekcoinage.org/iris/id/magnesia_ad_maeandrum_bmc_14,1,,"No. 18",,"Type not attributed to Magnesia in ARCH?"
igch1213,https://greekcoinage.org/iris/id/magnesia_ad_maeandrum_bmc_8-13,4,4,"Nos. 19–26",,"Type not attributed to Magnesia in ARCH?"
igch1213,https://greekcoinage.org/iris/id/miletus_marcellesi_2004_4,4,4,"Nos. 27–28 and 30–31 (hemidrachms)",,
igch1213,https://greekcoinage.org/iris/id/miletus_marcellesi_2004_3,1,9,"No. 29 (drachms)",,
igch1213,https://greekcoinage.org/iris/id/priene_regling_1927_c,5,,"1-2 hemidrachms (BCH 1953); 4 drachms",,
igch1213,https://greekcoinage.org/iris/id/samos_barron_1966_class_x_hemidrachms,5,,,,
igch1213,https://greekcoinage.org/iris/id/mausolus_caria_konuk_1998_b5,1,,,,
igch1213,https://greekcoinage.org/iris/id/idrieus_caria_konuk_1998_1,1,,,,
igch1213,"Mausolus of Caria/Idrieus of Caria, Silver, Drachma",,6,,,
igch1216,"Cnidus, Silver, Tetradrachm",,1,,,
igch1216,"Cnidus, Silver, Drachma",,[uncertain],,,
igch1216,"Mausolus, Silver, Tetradrachm",,[uncertain],,,
igch1216,"Mausolus, Silver, Didrachm",,[uncertain],,,
igch1216,"Mausolus, Silver, Drachma",,[uncertain],,,
igch1216,"Idrieus, Silver, Didrachm",,[uncertain],,,
igch1216,"Idrieus, Silver, Drachma",,[uncertain],,,
igch1216,"Pixodarus, Silver, Didrachm",,[uncertain],,,
igch1216,"Pixodarus, Silver, Drachma",,[uncertain],,,
igch1216,"Calymna, Silver, Didrachm",,[uncertain],,,
igch1216,"Calymna, Silver, Hemidrachm",,[uncertain],,,
igch1216,"Cos, Silver, Didrachm",,[uncertain],"Stefanaki 2012 doesn't know: either Series 5 Issue 10 or Series 6 Issue 13",,
igch1216,"Cos, Silver, Drachma",,[uncertain],"Stefanaki 2012 doesn't know: either Series 5 Issue 11 or Series 6 Issue 14",,
igch1216,"Rhodes, Silver, Didrachm",,[uncertain],,,"Incidentally, typo in this type's name"
igch1216,"Rhodes, Silver, Drachma",,[uncertain],,,
igch1216,"Persian Satraps, Sardis, Silver, Siglos",,[uncertain],"Evagoras I (Traité 2.1 117ff.)",,
igch1216,"Achaemenid Empire, Sardis, Silver, Siglos",,[uncertain],"Bodzek 2011 pl. 9.9–10",,
igch1217,https://greekcoinage.org/iris/id/ephesus_kinns_holt_2023.ii.ar.viii,1,,,,
igch1217,https://greekcoinage.org/iris/id/erythrae_kinns_1980_period_ii.1.ae.5,3,8,"Spares are illegible or uncertain",,
igch1217,https://greekcoinage.org/iris/id/erythrae_kinns_1980_period_ii.2.ae.5,13,,,,
igch1217,https://greekcoinage.org/iris/id/erythrae_kinns_1980_period_ii.3.ae.5,1,,,,
igch1217,https://greekcoinage.org/iris/id/erythrae_kinns_1980_period_i.ae.4,1,,"Kinns suggests it could equally be AE 3, but prefers AE 4",,
igch1217,https://greekcoinage.org/iris/id/miletus_marcellesi_2004_2,,2,,,
igch1217,https://greekcoinage.org/iris/id/miletus_marcellesi_2004_3,,11,,,
igch1217,https://greekcoinage.org/iris/id/chios_hardwick_1991_chian_410-380_ar,,11,drachm,"Hardwick 1991",
igch1217,https://greekcoinage.org/iris/id/chios_hardwick_1991_chian_375-350,,4,"drachm; could be Hardwick 1991 Local 350-330?","Hardwick 1991",
igch1217,https://greekcoinage.org/iris/id/chios_hardwick_1991_chian_410-380_ar,,4,hemidrachm,"Hardwick 1991",
igch1217,https://greekcoinage.org/iris/id/chios_hardwick_1991_bronze_350-332,,149,"= Lagos 1998 Series 13?","Hardwick 1991",
igch1217,https://greekcoinage.org/iris/id/cos_stefanaki_2012_5.9,,1,,,
igch1217,https://greekcoinage.org/iris/id/cos_stefanaki_2012_6.14,1,,,,
igch1217,https://greekcoinage.org/iris/id/rhodes_ashton_2001_11-12,1,,,,
igch1217,https://greekcoinage.org/iris/id/mausolus_caria_konuk_1998_b5,1,,Tetradrachm,,
igch1217,https://greekcoinage.org/iris/id/mausolus_caria_konuk_1998_b5,11,,Drachm,,
igch1217,https://greekcoinage.org/iris/id/pixodarus_caria_konuk_1998_a1,2,,,,
igch1219,"Silver, Didrachm [Pixodarus]",,100,,"Konuk 1998",
igch1219,https://greekcoinage.org/iris/id/sardes_bodzek_2011_pl.9.9-10,,20,"Tetradrachm; Traité pl. 89, 6-12; Traité pl. 91, 9-17",,
igch1220,https://www.corpus-nummorum.eu/types/3186,1,,"Baldwin 18",,
igch1220,https://www.corpus-nummorum.eu/types/3221,1,,"Baldwin 34",,
igch1220,https://www.corpus-nummorum.eu/types/3187,1,,"Baldwin 19",,
igch1220,https://www.corpus-nummorum.eu/types/3228,1,,"Baldwin 41",,
igch1220,https://www.corpus-nummorum.eu/types/3226,1,1,"Baldwin 39",,
igch1220,https://www.corpus-nummorum.eu/types/3208,2,,"Baldwin 29",,
igch1220,"Lampsacus, Gold, Stater [female head]",,1,"Could be any of several CN types",,
igch1220,https://www.corpus-nummorum.eu/types/3220,1,,"Baldwin 33",,
igch1222,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iiib_late_daric,,1000+,"Presumably this type but not strictly identified!",,
igch1224,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iiib_late_daric,,14+,,,
igch1224,https://greekcoinage.org/iris/id/sardes_carradice_1987_type_iv_late_daric,,38+,,,
igch1227,"Athens, Silver, Fraction",,3,"As BMC 112; Flament 2007 standardised?",,
igch1227,"Elaea, Bronze",,1,,,
igch1227,"Billon, Fraction",,74,"Could be any of Babelon 544–614",,
igch1227,"Mytilene, Silver, Fraction",,9,,,
igch1227,"Mytilene, Bronze",,5,,,
igch1227,https://greekcoinage.org/iris/id/mytilene_babelon_1910_2243-50,,1,,,
igch1227,https://greekcoinage.org/iris/id/eresus_hoover_2010_882,,1,,,
igch1227,https://greekcoinage.org/iris/id/nesos_stauber_1996_5-44,,1,,,
igch1227,https://greekcoinage.org/iris/id/phocaea_babelon_1907_523-9,,1,,,
igch1227,"Cnidus, Silver",,2,,,
igch1227,"Uncertain value, Silver, Fraction",,3,"BMC Samos 12–16—reattributed elsewhere? but where?",,
igch1227,"Uncertain value, Bronze",,2,,,
igch1228,https://www.corpus-nummorum.eu/types/4190,,1,"Corpus Nummorum parent-type: Ellis-Evans 2017 Type 1",,
