CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,5.052,,,,,,1358,76,76,76,-76,-76
,,,,5.056,,,,,,1456,,,,0,0
,,,,5.056,,,,,,1458,,,,0,0
,,,,5.056,,,,,,1459,,,,0,0
,,,,5.056,,,,,,1460,,,,0,0
,,,,5.056,,,,,,1461,,,,0,0
,,,,5.056,,,,,,1462,,,,0,0
,,,,5.056,,,,,,1464,,,,0,0
,,,,,6.011,,,,,,380,380,380,-380,-380
,,,,,,7.006,,,,,early 6th,600,570,-600,-570
,,,,,,7.007,,,,,550,550,550,-550,-550
,,,,,,7.011,,,,,early 5th,500,470,-500,-470
,,,,,,7.014,,,,,475,475,475,-475,-475
,,,,,,7.015,,,,,475,475,475,-475,-475
,,,,,,7.020,,,,1179,460,460,460,-460,-460
,,,,,,7.027,,,,,390,390,390,-390,-390
,,,,,,7.028,,,,,4th cent.,400,300,-400,-300
,,,,,,7.035,,,,,350,350,350,-350,-350
,,,,,,7.044,,,,,333/2,333,332,-333,-332
,,,,,,7.047,,,,,325,325,325,-325,-325
,,,,,,7.048,,,,,320,320,320,-320,-320
,,,,,,7.049,,,,1664,318,318,318,-318,-318
,,,,,,7.051,,,,,315,315,315,-315,-315
,,,,,,7.058,,,,,300,300,300,-300,-300
,,,,,,7.060,,,,,300,300,300,-300,-300
,,,,,,7.062,,,,,300,300,300,-300,-300
,,,,,,7.066,,,,,280,280,280,-280,-280
,,,,,,7.071,,,,,265,265,265,-265,-265
,,,,,,7.076,,,,,250,250,250,-250,-250
,,,,,,7.089,,,,,200,200,200,-200,-200
,,,,,,7.092,,,,,early 2nd,200,170,-200,-170
,,,,,,7.093,,,,888,180-170 or later,180,170,-180,-170
,,,,,,7.095,,,,1343,2nd cent,200,100,-200,-100
,,,,,,7.099,,,,,160,160,160,-160,-160
,,,,,,7.100,,,,,mid 2nd,170,130,-170,-130
,,,,,,7.105,,,,,mid 2nd,170,130,-170,-130
,,,,,,7.106,,,,,150,150,150,-150,-150
,,,,,,7.126,,,,,early 1st,100,70,-100,-70
,,,,,,,8.002,,,,560 BC,560,560,-560,-560
,,,,,,,8.003,,,,550 BC,550,550,-550,-550
,,,,,,,8.005,,,,540 BC,540,540,-540,-540
,,,,,,,8.006,,,,540 B.C. c.,540,540,-540,-540
,,,,,,,8.007,,,,530 BC,530,530,-530,-530
,,,,,,,8.008,,,,525 BC,525,525,-525,-525
