Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
"Gemlik Bursa, Turkey",1972,1972,,-467,-433,,,,4.014,,,,,,,,Gemlik (Türkiye),"29.15969,40.43094",https://sws.geonames.org/746958/,https://pleiades.stoa.org/places/511385,Prusias ad Mare/Kios,,seat of a second-order administrative division,,,,,1972,,,,,,,,,Asia_Minor_north,http://nomisma.org/id/classical_greece
Asia Minor,1976,1977,,-330,-330,,,,4.024,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1976,,,1977,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
NW Turkey,1977,1977,,-350,-330,,,,4.025,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_northwestern_asia_minor,independent political entity,,,,,1977,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Karini, Lesbos",,1844,,-233,-200,,,,4.047,,,,,,,1315,Karíni (Greece),"26.38976,39.11891",https://sws.geonames.org/8740933/,https://pleiades.stoa.org/places/550622,Karini,,populated place,,,,,,,,1844,TRUE,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Near East,1977,1977,,-160,-160,,,,4.055,,,,,,,,Levant,,https://sws.geonames.org/305104/,https://pleiades.stoa.org/places/930907033,Levant (region),,region,,,,,1977,,,,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
"Balikesir, Mysia",1958,1958,,-135,-130,,,,4.059,,,,,,,1326,Balıkesir (Türkiye),"27.88611,39.64917",https://sws.geonames.org/322165/,https://pleiades.stoa.org/places/550560,Hadrianoutherai,,seat of a first-order administrative division,,,,,1958,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
"Yesilhisar environs, near Savastepe (anc. Ceraseis), Mysia",1963,1963,,-130,-130,,,,4.059,,,,,,,1327,Yeşilhisar (Türkiye),"27.57282,39.35798",https://sws.geonames.org/296858/,,,,populated place,,,,,1963,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
"Sahnali, near Dalama (anc. Euhippe), Caria",1952,1952,,-130,-125,,,,4.059,,,,,,,1328,Şahnalı (Türkiye),"27.94227,37.78692",https://sws.geonames.org/302200/,https://pleiades.stoa.org/places/599614,Euhippe,,populated place,,,,,1952,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Asia Minor,1876,1876,,-150,-145,,,,4.059,,,,,,,1452,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1876,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Asia Minor,1962,1962,,-150,-140,,,,4.059,,,,,,,1453,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1962,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Asia Minor,1928,1928,,-125,-125,,,,4.059,,,,,,,1455,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1928,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Calymna, Greece",,1916,,-150,-100,,,,4.063,,,,,,,1351,Kalimno Island,"26.98105,36.97582",https://sws.geonames.org/261506/,https://pleiades.stoa.org/places/599684,Kalymna (island),,island,,,,,,,,1916,TRUE,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Uncertain,,,,-100,-1,,,,4.070,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,http://nomisma.org/id/hellenistic_greece
Turkey,1976,1977,,-80,-80,,,,4.072,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1976,,,1977,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Asia Minor,,1965,,-480,-480,,,,,5.002,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,,,,1965,TRUE,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Cilicia, Turkey",1977,1977,,-400,-400,,,,,5.015,,,,,,,Cilicie,,https://sws.geonames.org/8261117/,https://pleiades.stoa.org/places/658440,Cilicia,,historical region,,,,,1977,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
"Lycia, Turkey",,,,-380,-380,,,,,5.016,,,,,,,Lycie,,https://sws.geonames.org/8261119/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
Turkey,,1975,,-340,-340,,,,,5.024,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,1975,TRUE,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Amasya, Turkey",1978,1978,,-320,-320,,,,,5.027,,,,,,,Amasya (Türkiye),"35.83306,40.65333",https://sws.geonames.org/752015/,https://pleiades.stoa.org/places/857018,Amaseia,,seat of a first-order administrative division,,,,,1978,,,,,,,,,Asia_Minor_north,http://nomisma.org/id/hellenistic_greece
"Kupa, Scutari, Albania",,1939,,-270,-270,,,,,5.032,,,,,,,Kupas (Albania),"19.79167,40.95806",https://sws.geonames.org/3185040/,,,,populated place,,,,,,,,1939,TRUE,,,,,Macedonia_and_North,http://nomisma.org/id/hellenistic_greece
"Athens, Greece",1940,1940,,-250,-250,,,,,5.034,,,,,,157,Athens (Greece),"23.72784,37.98376",https://sws.geonames.org/264371/,https://pleiades.stoa.org/places/579885,Athenae,,capital of a political entity,,,,,1940,,,,,,,,,Greece,http://nomisma.org/id/hellenistic_greece
Turkey,1978,1978,,-200,-200,,,,,5.038,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1978,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Ionia, Turkey",1978,1978,,-190,-190,,,,,5.041,,,,,,,Ionia,,https://sws.geonames.org/12148994/,https://pleiades.stoa.org/places/550597,Ionia (region),,historical region,,,,,1978,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
"Mihalik (Karacabey), Turkey",1929,1929,,-76,-76,,,,,5.052,,,,,,1358,Karacabey (Türkiye),"28.3612,40.21323",https://sws.geonames.org/744537/,https://pleiades.stoa.org/places/511318,Miletopolis,,seat of a second-order administrative division,,,,,1929,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Turkey,,,,,,,,,,5.056,,,,,,1456,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
Turkey,,,,,,,,,,5.056,,,,,,1458,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
Turkey,,,,,,,,,,5.056,,,,,,1459,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
Turkey,,,,,,,,,,5.056,,,,,,1460,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
Turkey,,,,,,,,,,5.056,,,,,,1461,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
Turkey,,,,,,,,,,5.056,,,,,,1462,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
Turkey,,,,,,,,,,5.056,,,,,,1464,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,
"Cilicia, Turkey",1979,1979,,-380,-380,,,,,,6.011,,,,,,Cilicie,,https://sws.geonames.org/8261117/,https://pleiades.stoa.org/places/658440,Cilicia,,historical region,,,,,1979,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
"Canakkale, Turkey",,,,-600,-566,,,,,,,7.006,,,,,Canakkale (Türkiye),,https://sws.geonames.org/749778/,https://pleiades.stoa.org/places/550944,Troas (region),,first-order administrative division,,,,,,TRUE,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
Turkey,1981,1981,,-550,-550,,,,,,,7.007,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1981,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/archaic_greece
"Caria, Turkey",1967,1967,,-500,-466,,,,,,,7.011,,,,,Carie,,https://sws.geonames.org/8261116/,https://pleiades.stoa.org/places/1001916,Karia (late Roman province),,historical region,,,,,1967,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
Chios?,1980,1980,,-475,-475,,,,,,,7.014,,,,,Chios,"26.06161,38.41102",https://sws.geonames.org/259972/,https://pleiades.stoa.org/places/550497,Chios (island),,island,,,,TRUE,1980,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Turkey,1980,1980,,-475,-475,,,,,,,7.015,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1980,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
Chios?,,,,-460,-460,,,,,,,7.020,,,,1179,Chios,"26.06161,38.41102",https://sws.geonames.org/259972/,https://pleiades.stoa.org/places/550497,Chios (island),,island,,,,TRUE,,TRUE,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Isthmia, Corinth, Greece",1960,1960,,-390,-390,,,,,,,7.027,,,,,Isthmia (Greece),"23.0046,37.91356",https://sws.geonames.org/261721/,https://pleiades.stoa.org/places/570316,Isthmia,,populated place,,,,,1960,,,,,,,,,Greece,http://nomisma.org/id/classical_greece
Near East,1966,1966,,-399,-300,,,,,,,7.028,,,,,Levant,,https://sws.geonames.org/305104/,https://pleiades.stoa.org/places/930907033,Levant (region),,region,,,,,1966,,,,,,,,,Levant,http://nomisma.org/id/classical_greece
Turkey,,,,-350,-350,,,,,,,7.035,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Cilicia, Turkey",1978,1978,,-333,-332,,,,,,,7.044,,,,,Cilicie,,https://sws.geonames.org/8261117/,https://pleiades.stoa.org/places/658440,Cilicia,,historical region,,,,,1978,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
Turkey,1978,1978,,-325,-325,,,,,,,7.047,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1978,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Menemen, Izmir, Turkey",1981,1981,,-320,-320,,,,,,,7.048,,,,,Menemen (Türkiye),"27.06938,38.60754",https://sws.geonames.org/304612/,https://pleiades.stoa.org/places/550908,Temnos,,seat of a second-order administrative division,,,,,1981,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
"Demanhur, Egypt",1905,1905,,-318,-318,,,,,,,7.049,,,,1664,Damanhur (Egypt),"30.46823,31.03408",https://sws.geonames.org/358448/,https://pleiades.stoa.org/places/727123,Hermopolis Mikra,,seat of a first-order administrative division,,,,,1905,,,,,,,,,Egypt,http://nomisma.org/id/hellenistic_greece
"Karditsa, Greece",1980,1980,,-315,-315,,,,,,,7.051,,,,,Karditsa (Greece),"21.92191,39.36485",https://sws.geonames.org/260989/,,,,seat of a second-order administrative division,,,,,1980,,,,,,,,,Greece,http://nomisma.org/id/hellenistic_greece
"Camarina, Sicily",1976,1976,,-300,-300,,,,,,,7.058,,,,,Kamarina (Italy),"14.4415,36.87316",https://sws.geonames.org/8063309/,https://pleiades.stoa.org/places/462126,Camarina,,archaeological/prehistoric site,,,,,1976,,,,,,,,,Sicily ,http://nomisma.org/id/hellenistic_greece
Thrace,1980,1980,,-300,-300,,,,,,,7.060,,,,,Thrace,,https://sws.geonames.org/738770/,https://pleiades.stoa.org/places/1001889,Thrake,,historical region,,,,,1980,,,,,,,,,Thrace_Euxine,http://nomisma.org/id/hellenistic_greece
Turkey,,,,-300,-300,,,,,,,7.062,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Near East,1981,1981,,-280,-280,,,,,,,7.066,,,,,Levant,,https://sws.geonames.org/305104/,https://pleiades.stoa.org/places/930907033,Levant (region),,region,,,,,1981,,,,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
"Peloponnese, Greece",1969,1969,,-265,-265,,,,,,,7.071,,,,,Peloponnese,,https://sws.geonames.org/255620/,https://pleiades.stoa.org/places/570577,Peloponnesus/Peloponnesos/Peloponnese,,region,,,,,1960,,,1969,,,,,,Greece,http://nomisma.org/id/hellenistic_greece
"Ochiuri, Dimbovita, Romania",1956,1956,,-250,-250,,,,,,,7.076,,,,,Ochiuri (Romania),"25.54603,44.96304",https://sws.geonames.org/672037/,,,,populated place,,,,,1956,,,,,,,,,Macedonia_and_North,http://nomisma.org/id/hellenistic_greece
S.W. Turkey,1980,1980,,-200,-200,,,,,,,7.089,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,independent political entity,,,,,1980,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Turkey,1897,1897,,-200,-167,,,,,,,7.092,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1897,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
"Propontis, Turkey",1950,1950,,-180,-170,,,,,,,7.093,,,,888,Tekirdağ (Türkiye),,https://sws.geonames.org/738926/,,,,first-order administrative division,,,,,1950,,,,,,,,,Thrace_Euxine,http://nomisma.org/id/hellenistic_greece
Caria,1940,1949,,-199,-100,,,,,,,7.095,,,,1343,Carie,,https://sws.geonames.org/8261116/,https://pleiades.stoa.org/places/1001916,Karia (late Roman province),,historical region,,,,,1940,,,1949,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Asia Minor,1947,1948,,-160,-160,,,,,,,7.099,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1947,,,1948,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Near East,1965,1966,,-167,-133,,,,,,,7.100,,,,,Levant,,https://sws.geonames.org/305104/,https://pleiades.stoa.org/places/930907033,Levant (region),,region,,,,,1965,,,1966,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
"Konya, Turkey",1981,1981,,-167,-133,,,,,,,7.105,,,,,Konya (Türkiye),"32.48464,37.87135",https://sws.geonames.org/306571/,https://pleiades.stoa.org/places/648647,Iconium/Claudiconium,,seat of a first-order administrative division,,,,,1981,,,,,,,,,Asia_Minor_central,http://nomisma.org/id/hellenistic_greece
Rhodes,1975,1975,,-150,-150,,,,,,,7.106,,,,,Rhodes,"27.96081,36.19613",https://sws.geonames.org/400665/,https://pleiades.stoa.org/places/590031,Rhodos (island),,island,,,,,1975,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
"Mezen, Haskovo, Bulgaria",1977,1978,,-100,-67,,,,,,,7.126,,,,,Haskovo (Bulgaria),,https://sws.geonames.org/730436/,,,,first-order administrative division,,,,,1977,,,1978,,,,,,Thrace_Euxine,http://nomisma.org/id/hellenistic_greece
Western Asia Minor,1990,1990,,-560,-560,,,,,,,,8.002,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,region,,,,,1990,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Berezan, near Olbia, Russia",1975,1975,,-550,-550,,,,,,,,8.003,,,,Ostriv Berezan',"31.41094,46.59992",https://sws.geonames.org/712388/,https://pleiades.stoa.org/places/226677,Leuke Ins./Achilleos Nesos,,island,,,,,1975,,,,,,,,,South_Russia,http://nomisma.org/id/archaic_greece
Western Asia Minor,1988,1988,,-540,-540,,,,,,,,8.005,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,region,,,,,1988,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
Western Turkey,1985,1985,,-540,-540,,,,,,,,8.006,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,independent political entity,,,,,1985,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
Western Turkey,,,,-530,-530,,,,,,,,8.007,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,independent political entity,,,,,,TRUE,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Lesbos?, Greece",1991,1991,,-525,-525,,,,,,,,8.008,,,,Lesbos (Greece),,https://sws.geonames.org/258465/,https://pleiades.stoa.org/places/550696,Lesbos (island),,second-order administrative division,,,,TRUE,1991,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
unknown,1983,1983,,-525,-525,,,,,,,,8.009,,,,,,,,,,,,,,TRUE,1983,,,,,,,,,,http://nomisma.org/id/archaic_greece
Western Asia Minor,1985,1985,,-525,-525,,,,,,,,8.010,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,region,,,,,1985,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
Lycia,1985,1985,,-520,-520,,,,,,,,8.011,,,,Lycie,,https://sws.geonames.org/8261119/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,1985,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/archaic_greece
South-West Turkey,1989,1989,,-515,-515,,,,,,,,8.012,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,independent political entity,,,,,1989,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Colophon, near the temple of Apollo Clarios, Turkey",1968,1968,true,-510,-510,,,,,,,,8.014,,,,Klaros (Türkiye),"27.19307,38.005",https://sws.geonames.org/8410831/,https://pleiades.stoa.org/places/599719,Klaros,,archaeological/prehistoric site,,,,,1968,,TRUE,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Saida (anc. Sidon), Phoenicia",1829,1863,,-323,-320,,,,,,,,8.190,,,1508,Sidon (Lebanon),"35.37148,33.55751",https://sws.geonames.org/268064/,https://pleiades.stoa.org/places/678393,Sidon/Col. Aurelia Pia,,seat of a first-order administrative division,,,,,1829,,,1863,,,,,,Levant,http://nomisma.org/id/classical_greece
Rhodes ?,,1880,,-500,-500,,,,,,,,8.021,,,1185,Rhodes,"27.96081,36.19613",https://sws.geonames.org/400665/,https://pleiades.stoa.org/places/590031,Rhodos (island),,island,,,,,,,,1880,TRUE,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Near Ismir, Turkey",1982,1982,,-500,-500,,,,,,,,8.022,,,,Izmir (Türkiye),"27.13838,38.41273",https://sws.geonames.org/311046/,https://pleiades.stoa.org/places/550771,Naulochon/Smyrna/Palaia Smyrna,,seat of a first-order administrative division,,,,,1982,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Osmaniye, Eastern Asia Minor",,,,-500,-400,,,,,,,,8.025,,,,Osmaniye (Türkiye),"36.24778,37.07417",https://sws.geonames.org/303195/,https://pleiades.stoa.org/places/658556,Oeniandos/Epiphaneia,,seat of a first-order administrative division,,,,,,TRUE,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
"Burdur Region, Southern Turkey",,1989,,-500,-400,,,,,,,,8.026,,,,Burdur (Türkiye),"30.29083,37.72028",https://sws.geonames.org/320392/,https://pleiades.stoa.org/places/639060,Pisidia (region),,seat of a first-order administrative division,,,,,,,,1989,TRUE,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
"Bolu area, northern Turkey",,1989,,-500,-400,,,,,,,,8.028,,,,Bolu (Türkiye),,https://sws.geonames.org/750510/,,,,first-order administrative division,,,,,,,,1989,TRUE,,,,,Asia_Minor_north,http://nomisma.org/id/classical_greece
"Chios, Greece",1931,1931,,-500,-400,,,,,,,,8.030,,,1221,Chios,"26.06161,38.41102",https://sws.geonames.org/259972/,https://pleiades.stoa.org/places/550497,Chios (island),,island,,,,,1931,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Western Lycia / Eastern Caria,1992,1992,true,-500,-400,,,,,,,,8.032,,,,Carie,,https://sws.geonames.org/8261116/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,1992,TRUE,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
"Tolbuhine district, Bulgaria (between Kavarna and Baltchik)",1979,1979,,-500,-400,,,,,,,,8.033,,,,Kavarna (Bulgaria),,https://sws.geonames.org/730517/,,,,second-order administrative division,,,,,1979,,,,,,,,,Thrace_Euxine,http://nomisma.org/id/classical_greece
Western Asia Minor,1970,1970,,-490,-490,,,,,,,,8.036,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,region,,,,,1970,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Lycia, Turkey",1981,1982,,-480,-480,,,,,,,,8.039,,,,Lycie,,https://sws.geonames.org/8261119/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,1981,,,1982,,,,,,Asia_Minor_south,http://nomisma.org/id/archaic_greece
Cyprus,1934,1935,,-475,-475,,,,,,,,8.043,,,1277,Cyprus,,https://sws.geonames.org/146669/,https://pleiades.stoa.org/places/707498,Cyprus (island),,independent political entity,,,,,1934,,,1935,,,,,,Cyprus,http://nomisma.org/id/classical_greece
Ionia,1983,1983,,-460,-460,,,,,,,,8.047,,,,Ionia,,https://sws.geonames.org/12148994/,https://pleiades.stoa.org/places/550597,Ionia (region),,historical region,,,,,1983,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Izmir, Turkey",,,,-450,-450,,,,,,,,8.050,,,,Izmir (Türkiye),"27.13838,38.41273",https://sws.geonames.org/311046/,https://pleiades.stoa.org/places/550771,Naulochon/Smyrna/Palaia Smyrna,,seat of a first-order administrative division,,,,,,TRUE,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Caria,1987,1987,,-450,-450,,,,,,,,8.054,,,,Carie,,https://sws.geonames.org/8261116/,https://pleiades.stoa.org/places/1001916,Karia (late Roman province),,historical region,,,,,1987,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Egypt,,1879,,-500,-450,,,,,,,,8.057,,,,Egypt,,https://sws.geonames.org/357994/,https://pleiades.stoa.org/places/981503,Ancient Egypt (region),,independent political entity,,,,,,,,1879,TRUE,,,,,Egypt,http://nomisma.org/id/classical_greece
Ionia,,,,-415,-415,,,,,,,,8.068,,,,Ionia,,https://sws.geonames.org/12148994/,https://pleiades.stoa.org/places/550597,Ionia (region),,historical region,,,,,,TRUE,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Asia Minor,1984,1984,,-400,-400,,,,,,,,8.071,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1984,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Ionia, Turkey",1989,1989,,-400,-400,,,,,,,,8.072,,,,Ionia,,https://sws.geonames.org/12148994/,https://pleiades.stoa.org/places/550597,Ionia (region),,historical region,,,,,1989,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Asia Minor,1990,1999,,-400,-400,,,,,,,,8.073,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1990,TRUE,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Bayrakli (old Smyrna), Turkey",1986,1986,,-400,-375,,,,,,,,8.079,,,,Bayraklı District (Türkiye),,https://sws.geonames.org/7732715/,https://pleiades.stoa.org/places/550771,Naulochon/Smyrna/Palaia Smyrna,,second-order administrative division,,,,,1986,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Western Asia Minor, Turkey",1921,1947,true,-400,-300,,,,,,,,8.082,,,1231,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_western_asia_minor,region,,,,,,,,1947,TRUE,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Amasra area, Turkey",1972,1972,,-400,-300,,,,,,,,8.084,,,,Amasra (Türkiye),"32.38633,41.74633",https://sws.geonames.org/752016/,https://pleiades.stoa.org/places/844856,Amastris/Sesamos,,seat of a second-order administrative division,,,,,1972,,,,,,,,,Asia_Minor_north,http://nomisma.org/id/classical_greece
"Babylon, Iraq",,,,-385,-385,,,,,,,,8.090,,,1747,Babylon (Iraq),,https://sws.geonames.org/98228/,https://pleiades.stoa.org/places/893951,Babylon,,administrative division,,,,,1900,,,,,,,,,Babylon,http://nomisma.org/id/classical_greece
unknown,,,,-375,-375,,,,,,,,8.094,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,unknown,http://nomisma.org/id/classical_greece
Cilicia,1901,1901,,-370,-370,,,,,,,,8.099,,,1263,Cilicie,,https://sws.geonames.org/8261117/,https://pleiades.stoa.org/places/658440,Cilicia,,historical region,,,,,1901,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
"Celenderis, Cilicia, Turkey",,1944,,-370,-370,,,,,,,,8.100,,,,Aydıncık (Türkiye),"33.32016,36.1437",https://sws.geonames.org/322826/,https://pleiades.stoa.org/places/648596,Celenderis,,populated place,,,,,,,,1944,TRUE,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
unknown,1984,1984,,-350,-350,,,,,,,,8.102,,,,,,,,,,,,,,TRUE,1984,,,,,,,,,unknown,http://nomisma.org/id/classical_greece
unknown,,,,-350,-350,,,,,,,,8.106,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,unknown,http://nomisma.org/id/classical_greece
