Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
Antalya,1974,1974,,-233,-200,1.069,,,,,,,,,,,Antalya (Türkiye),"30.69556,36.90812",https://sws.geonames.org/323777/,https://pleiades.stoa.org/places/638778,Attalea,,seat of a first-order administrative division,,,,,1974,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/hellenistic_greece
Asia Minor,1972,1972,,-200,-200,1.073,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1972,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Asia Minor or North Syria,1970,1970,,-200,-200,1.074,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1970,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Ayaz-In,1953,1953,,,,1.075,,,,,,,,,,1413,Ayazini (Türkiye),"30.57688,39.01737",https://sws.geonames.org/322840/,,,,populated place,,,,,1953,,,,,,,,,Asia_Minor_central,
Mersin,1950,1950,,,,1.075,,,,,,,,,,1431,Mersin (Türkiye),"34.63886,36.81196",https://sws.geonames.org/304531/,https://pleiades.stoa.org/places/648810,Zephyrion/Hadrianopolis,,seat of a first-order administrative division,,,,,1950,,,,,,,,,Asia_Minor_south,
Tartus,1940,1940,,,,1.075,,,,,,,,,,1530,Tartous (Syria),"35.88659,34.88902",https://sws.geonames.org/163345/,https://pleiades.stoa.org/places/668190,Antarados/Constantia,,seat of a first-order administrative division,,,,,1940,,,,,,,,,Levant,
Syria,1960,1960,,,,1.075,,,,,,,,,,1533,Syria,,https://sws.geonames.org/163843/,https://pleiades.stoa.org/places/981550,Syria (Roman imperial province),,independent political entity,,,,,1960,,,,,,,,,Levant,
"Bab (anc. Batnae) environs, bet Beroea and Hierapolis, Cyrrhestica",1934,1934,,-250,-200,1.075,,,,,,,,,,1534,Suruç (Türkiye),"38.42533,36.97612",https://sws.geonames.org/300075/,https://pleiades.stoa.org/places/658405,Batnae/Markopolis,,seat of a second-order administrative division,,,,,1934,,,,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
Latakia,1946,1946,,,,1.075,,,,,,,,,,1536,Latakia (Syria),"35.79011,35.53168",https://sws.geonames.org/173576/,https://pleiades.stoa.org/places/668290,Laodicea,,seat of a first-order administrative division,,,,,1946,,,,,,,,,Levant,
Kosseir (Khan Cheikhoun),1949,1949,,,,1.075,,,,,,,,,,1537,Antakya İlçesi (Türkiye),,https://sws.geonames.org/438417/,https://pleiades.stoa.org/places/658381,Antiochia/Theoupolis,,second-order administrative division,,,,,1949,,,,,,,,,Levant,
Dniye,1952,1952,,,,1.075,,,,,,,,,,1538,Şāfītā (Syria),"36.11773,34.82099",https://sws.geonames.org/165060/,,,,seat of a second-order administrative division,,,,,1952,,,,,,,,,Levant,
Baiyada,1949,1949,,,,1.075,,,,,,,,,,1541,Şāfītā (Syria),"36.11773,34.82099",https://sws.geonames.org/165060/,,,,seat of a second-order administrative division,,,,,1949,,,,,,,,,Levant,
Ain Tab,1921,1921,,,,1.075,,,,,,,,,,1542,Gaziantep (Türkiye),"37.3825,37.05944",https://sws.geonames.org/314830/,https://pleiades.stoa.org/places/658455,Doliche,,seat of a first-order administrative division,,,,,1921,,,,,,,,,Levant,
Latakia,1759,1759,,,,1.075,,,,,,,,,,1544,Latakia (Syria),"35.79011,35.53168",https://sws.geonames.org/173576/,https://pleiades.stoa.org/places/668290,Laodicea,,seat of a first-order administrative division,,,,,1759,,,,,,,,,Levant,
Alep,1931,1931,,,,1.075,,,,,,,,,,1546,Aleppo (Syria),"37.16117,36.20124",https://sws.geonames.org/170063/,https://pleiades.stoa.org/places/658409,Beroia,,seat of a first-order administrative division,,,,,1931,,,,,,,,,Levant,
