"value","uri","type"
"centuripae","http://nomisma.org/id/centuripae","mint"
"ceos","http://nomisma.org/id/ceos","mint"
"ceraitae","http://nomisma.org/id/ceraitae","mint"
"cercinitis","http://nomisma.org/id/cercinitis","mint"
"chabacta","http://nomisma.org/id/chabacta","mint"
"chalcidian_league","http://nomisma.org/id/chalcidian_league","mint"
"chalcis","http://nomisma.org/id/chalcis","mint"
"characene","http://nomisma.org/id/characene","mint"
"charax_spasinou","http://nomisma.org/id/charax_spasinou","mint"
"cherronesus","http://nomisma.org/id/cherronesus","mint"
"chersonesus_cariae","http://nomisma.org/id/chersonesus_cariae","mint"
"chersonesus_crete","http://nomisma.org/id/chersonesus_crete","mint"
"chios","http://nomisma.org/id/chios","mint"
"cilicia","http://nomisma.org/id/cilicia","head_1911_region"
"cirrha","http://nomisma.org/id/cirrha","mint"
"citium","http://nomisma.org/id/citium","mint"
"cius","http://nomisma.org/id/cius","mint"
"clazomenae","http://nomisma.org/id/clazomenae","mint"
"cleitor","http://nomisma.org/id/cleitor","mint"
"cleonae","http://nomisma.org/id/cleonae","mint"
"cnidus","http://nomisma.org/id/cnidus","mint"
"cnossus","http://nomisma.org/id/cnossus","mint"
"colchis","http://nomisma.org/id/colchis","nomisma_region"
"colophon","http://nomisma.org/id/colophon","mint"
"comama","http://nomisma.org/id/comama","mint"
"comana","http://nomisma.org/id/comana","mint"
"compulteria","http://nomisma.org/id/compulteria","mint"
"copia","http://nomisma.org/id/copia","mint"
"corcyra","http://nomisma.org/id/corcyra","head_1911_region"
"corduba","http://nomisma.org/id/corduba","mint"
"corinth","http://nomisma.org/id/corinth","mint"
"corona","",""
"corone","http://nomisma.org/id/corone","mint"
"coroneia","http://nomisma.org/id/coroneia","mint"
"coronta","http://nomisma.org/id/coronta","mint"
"cos","http://nomisma.org/id/cos","mint"
"cosa","http://nomisma.org/id/cosa","mint"
"cossura","http://nomisma.org/id/cossura","mint"
"cremna","http://nomisma.org/id/cremna","mint"
"crete","http://nomisma.org/id/crete","head_1911_region"
"cromna","http://nomisma.org/id/cromna","mint"
"croton","http://nomisma.org/id/croton","mint"
"cumae","http://nomisma.org/id/cumae","mint"
"cyclades","http://nomisma.org/id/cyclades","nomisma_region"
"cydonia","http://nomisma.org/id/cydonia","mint"
"cyme","",""
"cyme_aeolis","http://nomisma.org/id/cyme_aeolis","mint"
"cyprus","http://nomisma.org/id/cyprus","head_1911_region"
"cyrene","http://nomisma.org/id/cyrene","mint"
"cyzicus","http://nomisma.org/id/cyzicus","mint"
"damascus","http://nomisma.org/id/damascus","mint"
"damastium","http://nomisma.org/id/damastium","mint"
"dardanus","http://nomisma.org/id/dardanus","mint"
"delos","http://nomisma.org/id/delos","mint"
"delphi","http://nomisma.org/id/delphi","mint"
"demetrias_syria","http://nomisma.org/id/demetrias_syria","mint"
"derrones","http://nomisma.org/id/derrones","mint"
"dia","http://nomisma.org/id/dia","mint"
"dicaea_thrace","http://nomisma.org/id/dicaea_thrace","mint"
"dionysopolis_thrace","http://nomisma.org/id/dionysopolis_thrace","mint"
"dioscurias","http://nomisma.org/id/dioscurias","mint"
"dyrrhachii","http://nomisma.org/id/dyrrhachii","authority"
"dyrrhachium","http://nomisma.org/id/dyrrhachium","mint"
"dyrrhachium_epidmanus","",""
"ebusus","http://nomisma.org/id/ebusus","mint"
"ecbatana","http://nomisma.org/id/ecbatana","mint"
"echinus","http://nomisma.org/id/echinus","mint"
"edoni","http://nomisma.org/id/edoni","mint"
"eion","http://nomisma.org/id/eion","mint"
"elaea","http://nomisma.org/id/elaea","mint"
"elea","http://nomisma.org/id/elea","mint"
"eleusis","http://nomisma.org/id/eleusis","mint"
"eleutherna","http://nomisma.org/id/eleutherna","mint"
"elis","http://nomisma.org/id/elis","mint"
"elyrus","http://nomisma.org/id/elyrus","mint"
"emporiae","http://nomisma.org/id/emporiae","mint"
"enna","http://nomisma.org/id/enna","mint"
"ephesus","http://nomisma.org/id/ephesus","mint"
"epidaurus","http://nomisma.org/id/epidaurus","mint"
"epirus","http://nomisma.org/id/epirus","head_1911_region"
"eresus","http://nomisma.org/id/eresus","mint"
