"id","value","place","geonames_uri","geonames_place"
"igch1278","Vouni, near anc. Marium, , 1928","Vouni","http://www.geonames.org/145986","Vouni (Cyprus)"
"igch2155","Pachino, extreme SE Sicily, 1911","Pachino","http://www.geonames.org/2523938","Pachino (Italy)"
"igch0798","Vekilski, Novi Pazar district, E of Sumen, Bulgaria, 1943","Vekilski","http://www.geonames.org/726013","Vekilski (Bulgaria)"
"igch1896","Metaponto ?, Lucania, 1955","Metaponto","http://www.geonames.org/3173518","Stazione di Metaponto (Italy)"
"igch1665","Egypt, 1893","Egypt","http://www.geonames.org/357994","Egypt (Egypt)"
"igch1260","Cilicia, 1967","Cilicia","http://www.geonames.org/8378491","Cilicia (Roman province) (Turkey)"
"igch0996","Kerch' (anc. Panticapaeum), Crimea oblast, Ukraine, c. 1955 or earlier","Kerch'","http://www.geonames.org/706524","Kerch (Ukraine)"
"igch1099","Anapa (anc. Gorgippia), Krasnodar Territory, RSFSR, 1954","Anapa","http://www.geonames.org/582182","Anapa (Russia)"
"igch1073","Kerch' (anc. Panticapaeum), Crimea oblast, Ukraine, 1902","Kerch'","http://www.geonames.org/706524","Kerch (Ukraine)"
"igch1838","India or Pakistan, before 1938","India or Pakistan","",""
"igch2074","Palermo (anc. Panormus) environs, 1893","Palermo  environs","",""
"igch0532","Pibarica, Teteven district, SW of Loveć, Bulgaria, 1941","Pibarica","",""
"igch1939","Croton ?, Bruttium, 1927 or earlier (277 part)","Croton","http://www.geonames.org/3830947","Croton Cay (Bahamas)"
"igch1909","Caulonia, Bruttium, 1915","Caulonia","http://www.geonames.org/2525053","Caulonia (Italy)"
"igch0528","Cugir, c. 20 km. ENE of Deva, Rumania, 1955","Cugir","http://www.geonames.org/679993","Oraş Cugir (Romania)"
"igch1861","Punch environs, c. 100 km. SW of Srinagar, Kashmir, c. 1890","Punch environs","",""
"igch0378","Olynthus, 1934","Olynthus","http://www.geonames.org/735088","Myriófyto (Greece)"
"igch0010","Pascha, SW of Cyme, Euboea, 1883","Pascha","http://www.geonames.org/512370","Pashskiy Perevoz (Russia)"
"igch0399","Topolčane, just SW of Prilep, S Yugoslavia, c. 1917","Topolčane","http://www.geonames.org/785011","Topolčani (Macedonia)"
"igch2328","Mogente, 65 km. NNW of Alicante, 1910","Mogente","http://www.geonames.org/6362035","Mogente/Moixent (Spain)"
"igch1233","Asia Minor, western, 1967","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0009","Eretria, Euboea, c. 1870","Eretria","http://www.geonames.org/338010","Eritrea (Eritrea)"
"igch1822","Oxus River (Takhti-Kubad, at junc-(45, 778) tion of modern Vaksh and Piandzh Rivers), Shaartuz raion, Tadzhikistan (anc. Sogdiana), 1887","Oxus River (Takhti-Kubad","",""
"igch0669","Trâstenik, c. 25 km. NW of Pleven, Bulgaria, 1959","Trâstenik","http://www.geonames.org/727087","Slavyanovo (Bulgaria)"
"igch1377","Asia Minor, northwestern?, 1947 or earlier","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0570","Lipnica, c. 32 km. S of Vraca, Bulgaria, 1963","Lipnica","http://www.geonames.org/6461579","Lipnica (Bulgaria)"
"igch2223","Agrigento, 1918","Agrigento","http://www.geonames.org/2525764","Agrigento (Italy)"
"igch0452","Turnu Severin environs (Hinova), Rumania, 1923","Turnu Severin environs","",""
"igch0802","Thrace, c. 1960","Thrace","http://www.geonames.org/6697803","East Macedonia and Thrace (Greece)"
"igch0440","Krusovica, c. 54 km. N of Vraca, Bulgaria, 1960","Krusovica","http://www.geonames.org/729857","Krushovitsa (Bulgaria)"
"igch0909","Meričleri, c. 25 km. N of Haskovo, Bulgaria, 1909","Meričleri","http://www.geonames.org/729150","Merichleri (Bulgaria)"
"igch1153","Ephesus, Ionia, 1905","Ephesus","http://www.geonames.org/7522155","Ephesus (Turkey)"
"igch1795","Pasargadae, 1962","Pasargadae","http://www.geonames.org/121340","Pasargadae (Iran)"
"igch0880","Banja, c. 40 km. W of Sliven, Bulgaria, 1947","Banja","http://www.geonames.org/3204541","Banja Luka (Bosnia and Herzegovina)"
"igch1250","Lycia, 1954","Lycia","http://www.geonames.org/8410801","Lycia (Roman province) (Turkey)"
"igch1757","Mesopotamia or Babylonia, 1957","Mesopotamia or Babylonia","",""
"igch2202","Syracuse, 1926","Syracuse","http://www.geonames.org/5140405","Syracuse (United States)"
"igch0547","Graniceri, c. 34 km. N of Arad, Rumania, 1875","Graniceri","http://www.geonames.org/676790","Comuna Grăniceri (Romania)"
"igch1637","Demanhur (mod. Damanhûr, anc. Dime-n-Hor = Hermopolis parva), 1900-1901","Demanhur (mod. Damanhûr","",""
"igch1350","Izmir region, Ionia, 1969","Izmir region","",""
"igch1201","Durasalar, near Bigadiç (anc. Abbaitis), Mysia, , 1956","Durasalar","http://www.geonames.org/316117","Durasalar (Turkey)"
"igch1656","Garbieh, Garbîya province, Delta, 1896","Garbieh","",""
"igch2210","Vulcano, Lipari Islands, before 1896","Vulcano","http://www.geonames.org/2522705","Vulcano (Italy)"
"igch1431","Mersin (anc. Zephyrium), Cilicia, 1950","Mersin","http://www.geonames.org/304531","Mersin (Turkey)"
"igch1325","Calymna, Caria, 1953","Calymna","http://www.geonames.org/261506","Kalymnos Island (Greece)"
"igch0491","Jasen, c. 10 km. W of Pleven, Bulgaria, 1966","Jasen","http://www.geonames.org/6460297","Jasen (Bulgaria)"
"igch1489","Beithir, 22 km. NE of Saida (anc. Sidon), Phoenicia, 1901","Beithir","",""
"igch1517","Jdita, near anc. Chalcis, Coelesyria, 1894","Jdita","http://www.geonames.org/273355","Jdîta (Lebanon)"
"igch1748","Warka (anc. Orchi of Uruk), Babylonia, 1923","Warka","http://www.geonames.org/78486","Am Warkā (Yemen)"
"igch1122","Cepi (mod. Sennaia), Taman' Peninsula, Krasnodar Territory, RSFSR, 1959","Cepi","http://www.geonames.org/3078131","Čepí (Czechia)"
"igch0064","Corinth, 1932","Corinth","http://www.geonames.org/259289","Corinth (Greece)"
"igch1210","Vourla (now Urla; anc. Clazomenae), Ionia, , 1964","Vourla","http://www.geonames.org/261211","Kaména Voúrla (Greece)"
"igch1467","Asia Minor, 1968","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0216","Peloponnesus, 1903","Peloponnesus","http://www.geonames.org/255620","Pelopónnisos (Greece)"
"igch0959","Burgas district, Bulgaria, 1966","Burgas district","",""
"igch0230","Euboea, before c. 1940","Euboea","http://www.geonames.org/262565","Euboea (Greece)"
"igch1706","Saqqara, near Memphis, 20 km. S of Cairo, 1967","Saqqara","http://www.geonames.org/349608","Saqqara (Egypt)"
"igch1908","Calabria (anc. Bruttium), 1864","Calabria","http://www.geonames.org/2523630","Reggio Calabria (Italy)"
"igch1327","Yesilhisar environs, near Savastepe (anc. Ceraseis), Mysia, 1963","Yesilhisar environs","",""
"igch0850","Byrsine, Thrace, 1938","Byrsine","",""
"igch2001","Specchia, 40 km. S of Lecce, Calabria, , 1952","Specchia","http://www.geonames.org/2523030","Specchia (Italy)"
"igch0787","Develt (anc. Deultum), c. 27 km. S of Burgas, Bulgaria, 1921-1922","Develt","http://www.geonames.org/749464","Gebze Fatih Develt Hastanesi (Turkey)"
"igch1186","Bodrum (anc. Halicarnassus), Caria, , c. 1857","Bodrum","http://www.geonames.org/320995","Bodrum (Turkey)"
"igch0829","Nevrokop (mod. Goce Delčev; anc. Nicopolis ad Nestum), Bulgaria, 1931","Nevrokop","http://www.geonames.org/838847","Nevrokop (Macedonia)"
"igch2065","Messina, 1875","Messina","http://www.geonames.org/2524170","Messina (Italy)"
"igch1326","Balikesir, Mysia, 1958","Balikesir","http://www.geonames.org/322165","Balıkesir (Turkey)"
"igch2372","Ansouis, near Aix, 1861","Ansouis","http://www.geonames.org/3037482","Ansouis (France)"
"igch1573","Seleuceia Pieria, Seleucis, 1932-1939","Seleuceia Pieria","",""
"igch1316","Ilium (mod. Hissarlik), Troas, c. 1856","Ilium","http://www.geonames.org/298885","Troy (Turkey)"
"igch0244","Naupactus environs, Locris, 1967","Naupactus environs","",""
"igch0859","Varna (anc. Odessus), Bulgaria, 1955","Varna","http://www.geonames.org/726050","Varna (Bulgaria)"
"igch0161","Hymettus, near Athens, 1948","Hymettus","http://www.geonames.org/261786","Óros Ymittós (Greece)"
"igch1997","Bernalda, La Cava (anc. Metapontum), Lucania, 1934","Bernalda","http://www.geonames.org/3182153","Bernalda (Italy)"
"igch1513","Phoenicia, 1968 or earlier","Phoenicia","http://www.geonames.org/8504928","Phoenicia (Lebanon)"
"igch1439","Asia Minor, 1968","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0823","Dragomir, c. 25 km. N of Pazardzik, Bulgaria, 1936","Dragomir","http://www.geonames.org/6459987","Dragomir (Bulgaria)"
"igch2217","Noto environs, 24 km. SW of Syra-(744 = 1029) cuse, 1853","Noto environs","",""
"igch1965","Monacizzo, 25 km. SE of Taranto, Calabria, 1908","Monacizzo","http://www.geonames.org/3173188","Monacizzo (Italy)"
"igch1922","Taranto, Calabria, 1929","Taranto","http://www.geonames.org/3165926","Taranto (Italy)"
"igch0522","Samovodene, just N of Veliko Târnovo, Bulgaria, 1933","Samovodene","http://www.geonames.org/727457","Samovodene (Bulgaria)"
"igch1519","Beirut (anc. Berytus), 1964","Beirut","http://www.geonames.org/276781","Beirut (Lebanon)"
"igch1605","Haifa (anc. Sicmona), Phoenicia, 1969","Haifa","http://www.geonames.org/294801","Haifa (Israel)"
"igch0519","Cluj environs, Rumania, before 1918","Cluj environs","",""
"igch0020","Peloponnesus, 1936","Peloponnesus","http://www.geonames.org/255620","Pelopónnisos (Greece)"
"igch0356","Olynthus, Macedonia, 1928","Olynthus","http://www.geonames.org/735088","Myriófyto (Greece)"
"igch0692","Nevrokop (mod. Goce Delčev; anc. Nicopolis ad Nestum), Bulgaria, 1939","Nevrokop","http://www.geonames.org/838479","Nevrokop (Macedonia)"
"igch0768","Gančevo, c. 30 km. SE of Sumen, Bulgaria, 1951","Gančevo","",""
"igch2364","Bougé-Chambalud, 50 km. S of Lyon, 1886","Bougé-Chambalud","http://www.geonames.org/3031284","Bougé-Chambalud (France)"
"igch0291","Carystus, Euboea, 1957","Carystus","",""
"igch1576","Hama (anc. Epiphaneia), Seleucis, 1937","Hama","http://www.geonames.org/170017","Hama (Syria)"
"igch2190","Gela, 1956-1957","Gela","http://www.geonames.org/2524653","Gela (Italy)"
"igch0203","Attica?, c. 1966","Attica","http://www.geonames.org/255274","Piraeus (Greece)"
"igch0723","Thasos:, 1953","Thasos:","http://www.geonames.org/734093","Thasos (Greece)"
"igch0312","Matsouki, c. 15 km. NNW of Agrinion, Aetolo-Acarnania, 1959","Matsouki","http://www.geonames.org/257579","Matsoúkion (Greece)"
"igch1891","Calabria (anc. Bruttium), 1833","Calabria","http://www.geonames.org/2523630","Reggio Calabria (Italy)"
"igch0771","Constanta (anc. Tomis), Rumania, 1938-1942","Constanta","http://www.geonames.org/680963","Constanța (Romania)"
"igch1779","Babylon, Babylonia, before 1914","Babylon","http://www.geonames.org/98228","Babylon (Iraq)"
"igch1463","Asia Minor ?, 1934-1935","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0642","Siderokastro, Macedonia, 1961","Siderokastro","",""
"igch0092","Makryneia, Acarnania, 1859","Makryneia","",""
"igch1273","Cyprus, c. 1929","Cyprus","http://www.geonames.org/146669","Cyprus (Cyprus)"
"igch0841","Kralevo, c. 25 km. SW of Sumen, Bulgaria, 1946","Kralevo","http://www.geonames.org/789107","Kraljevo (Serbia)"
"igch1499","Tell el Mellaha, just S of Beirut (anc. Berytus), Phoenicia, c. 1887","Tell el Mellaha","",""
"igch0414","Drama ?, Macedonia, 1935","Drama","http://www.geonames.org/736364","Drama (Greece)"
"igch1919","Reggio environs, Bruttium, 1938","Reggio environs","",""
"igch1051","Mestia or Lantekhi raion (Svanetiia), (586, 1025 ?) Georgia, 1901-1904","Mestia or Lantekhi raion","",""
"igch0484","Gaber, near Sofia, Bulgaria, 1960","Gaber","http://www.geonames.org/731570","Gaber (Bulgaria)"
"igch0147","Arta (anc. Ambracia), Epirus, c. 1929 (69, 466)","Arta","http://www.geonames.org/225037","Arta (Djibouti)"
"igch2009","South Italy, before 1969","South Italy","http://www.geonames.org/3437652","Nueva Italia (Paraguay)"
"igch0262","Diakofto, on the coast c. 20 km. E of Aegium, Achaea, , 1965","Diakofto","http://www.geonames.org/413891","Nisída Diakoftó (Greece)"
"igch1522","Syria?, c. 1964","Syria","http://www.geonames.org/163843","Syria (Syria)"
"igch2235","Mandanici, 15 km. N of Taormina, 1952","Mandanici","http://www.geonames.org/2524310","Mandanici (Italy)"
"igch2303","Algiers, 1940","Algiers","http://www.geonames.org/2507480","Algiers (Algeria)"
"igch0346","Greece, c. 1921","Greece","http://www.geonames.org/390903","Greece (Greece)"
"igch0710","Thasos: ?, before 1912","Thasos:","http://www.geonames.org/734093","Thasos (Greece)"
"igch0777","Jasna poljana, c. 30 km. SE of Burgas, Bulgaria, 1969","Jasna poljana","http://www.geonames.org/6460149","Jasna poljana (Bulgaria)"
"igch1823","Ai-Khanum, in anc. Bactria, Afghanistan, 1970","Ai-Khanum","http://www.geonames.org/1147929","Ay Khānom (Afghanistan)"
"igch1703","Egypt, 1922","Egypt","http://www.geonames.org/357994","Egypt (Egypt)"
"igch1753","Babylonia ?, 1954","Babylonia","http://www.geonames.org/98228","Babylon (Iraq)"
"igch2302","La Goulette, 5 km. S of anc. Carthage, Tunisia, 1920","La Goulette","http://www.geonames.org/2470656","La Goulette (Tunisia)"
"igch1888","Taranto environs, Calabria, 1929","Taranto environs","",""
"igch1018","Olbia (mod. Parutino), 1951","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch0972","Develt (anc. Deultum), 27 km. S of Burgas, Bulgaria, 1951","Develt","http://www.geonames.org/749464","Gebze Fatih Develt Hastanesi (Turkey)"
"igch1926","Lizzano, 20 km. SE of Taranto, Calabria, 1950","Lizzano","http://www.geonames.org/3174652","Lizzano in Belvedere (Italy)"
"igch1392","Samsun, 1969","Samsun","http://www.geonames.org/740264","Samsun (Turkey)"
"igch1953","Populonia, Erutria, 1867","Populonia","http://www.geonames.org/3170169","Populonia (Italy)"
"igch2160","Aidone, near Serra Orlando (anc. Morgantina), before 1900","Aidone","http://www.geonames.org/2525761","Aidone (Italy)"
"igch0140","Cephallenia, 1935","Cephallenia","http://www.geonames.org/260311","Kefalonia Island (Greece)"
"igch2136","Leonforte, 15 km. NE of Enna, 1895","Leonforte","http://www.geonames.org/2524404","Leonforte (Italy)"
"igch1767","Failaka (anc. Icarus), island in the Persian Gulf off Kuwait, 1960","Failaka","http://www.geonames.org/285638","Jazīrat Faylakā (Kuwait)"
"igch1726","Abu Hommos, 40 km. SE of Alexandreia, before 1905","Abu Hommos","http://www.geonames.org/362552","Abu Ḥummuṣ (Egypt)"
"igch2067","Selinunte ?, 1898","Selinunte","http://www.geonames.org/2523164","Selinunte (Italy)"
"igch1295","Lesbos, 1947?","Lesbos","http://www.geonames.org/258466","Lesbos Island (Greece)"
"igch1957","Taranto, 1926","Taranto","http://www.geonames.org/3165926","Taranto (Italy)"
"igch0845","Turija, c. 18 km. N of Stara Zagora, Bulgaria, 1951","Turija","http://www.geonames.org/784820","Turija (Serbia)"
"igch1410","Mektepini, near Sabuncupinar (between anc. Dorylaeum and Cotiaeum), Phrygia, , 1956","Mektepini","",""
"igch1112","Olbia (mod. Parutino), Ochakov raion, Nikolaev oblast, Ukraine, 1957","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch1624","Beth-Sahur, near Bethlehem, Judaea, 1946","Beth-Sahur","",""
"igch1266","Fethiye (formerly Makri; anc. Telmessus), Lycia, 1929","Fethiye","http://www.geonames.org/314967","Fethiye (Turkey)"
"igch0805","Hisar, c. 40 km. S of Haskovo, Bulgaria, 1962","Hisar","http://www.geonames.org/1270022","Hisar (India)"
"igch2198","Gela, 1911","Gela","http://www.geonames.org/2524653","Gela (Italy)"
"igch1075","Kamenskoe, near Kamenka-Dneprovskaia, Zaporozh'e oblast, Ukraine, 1914","Kamenskoe","http://www.geonames.org/553401","Ozero Kamenskoye (Russia)"
"igch1906","S. Eufemia Lamezia, 8 km. SW of Nicastro, Bruttium, 1949","S. Eufemia Lamezia","",""
"igch1808","Susa, 1934-1939","Susa","http://www.geonames.org/409419","Şuşa Şəhəri (Azerbaijan)"
"igch1212","Çanakkale (anc. Abydus), Troas, , 1969","Çanakkale","http://www.geonames.org/749780","Çanakkale (Turkey)"
"igch0311","Thyrrheium, near Vonitsa, Acarnania, 1962","Thyrrheium","",""
"igch1248","Kütahya (anc. Cotiaeum), Phrygia, 1967","Kütahya","http://www.geonames.org/305268","Kütahya (Turkey)"
"igch0290","Delos, 1906","Delos","http://www.geonames.org/263090","Delos (Greece)"
"igch2386","Castelet de Fontvielle, 5 km. NE of Arles, 1969-1970","Castelet de Fontvielle","",""
"igch0757","Dâbovo, c. 20 km. N of Stara Zagora, Bulgaria, 1933-1934","Dâbovo","http://www.geonames.org/8622786","Dabovo Brdo (Macedonia)"
"igch1280","Cyprus, c. 10 km. NE of Dali (anc. Idalium), , 1896","Cyprus","http://www.geonames.org/146669","Cyprus (Cyprus)"
"igch1832","Bhir Mound, 1913","Bhir Mound","http://www.geonames.org/1418310","Rāj Bhīr (Pakistan)"
"igch1648","Naucratis (mod. El Nibeira or El Niqrâsh), 1885","Naucratis","http://www.geonames.org/351274","Naucratis (Egypt)"
"igch0425","Curtea de Arges, c. 23 km. NNW of Pitesti, Rumania, c. 1933","Curtea de Arges","http://www.geonames.org/679907","Curtea de Argeş (Romania)"
"igch0648","Derna, c. 30 km. NE of Oradea, Rumania, before 1940","Derna","http://www.geonames.org/87205","Darnah (Libya)"
"igch1312",""Tarahia", Caria, c. 1929",""Tarahia"","http://www.geonames.org/7082454","Tarāhia (Pakistan)"
"igch2145","Cesarò, 40 km. NW of Aderno, 1915-(167 = 977) 1916","Cesarò","http://www.geonames.org/2525015","Cesarò (Italy)"
"igch0564","Risan (anc. Rhizon), southern Dalmatia, Yugoslavia, 1927","Risan","http://www.geonames.org/3191631","Risan (Montenegro)"
"igch0705","Roksolany, 1960","Roksolany","http://www.geonames.org/695513","Roksolany (Ukraine)"
"igch2254","Cibali, Catana district, 1907","Cibali","http://www.geonames.org/749206","Cibali (Turkey)"
"igch1855","Rohtak district, c. 60 km. W of New Delhi, India, 1918","Rohtak district","http://www.geonames.org/1258077","Rohtak (India)"
"igch1749","Babylon, Babylonia, 1849","Babylon","http://www.geonames.org/3079704","Babylon (Czechia)"
"igch0345","Chalcis, Euboea, c. 1955","Chalcis","http://www.geonames.org/260133","Chalcis (Greece)"
"igch0913","Mârzjan, Plovdiv district, Bulgaria, 1933-1934","Mârzjan","",""
"igch0207","Butrinto (anc. Buthrotum), 14 km. S of Sarandë, Albania, 1927","Butrinto","http://www.geonames.org/363394","Buthrotum (Albania)"
"igch0499","Lipnica, c. 32 km. S of Vraca, Bulgaria, 1947","Lipnica","http://www.geonames.org/3211244","Lipnica (Bosnia and Herzegovina)"
"igch0472","Aphytis, Macedonia, 1935 ?","Aphytis","",""
"igch2222","Agrigento (anc. Acragas), c. 1900","Agrigento","http://www.geonames.org/2525764","Agrigento (Italy)"
"igch2349","Azaila, 50 km. SE of Saragossa, 1920","Azaila","http://www.geonames.org/3129085","Azaila (Spain)"
"igch2040","South Italy, 1955-9","South Italy","http://www.geonames.org/3437652","Nueva Italia (Paraguay)"
"igch0536","Nikolaevo, Pleven district, Bulgaria, 1934","Nikolaevo","http://www.geonames.org/728795","Nikolaevo (Bulgaria)"
"igch1417","Cappadocia, c. 1935","Cappadocia","http://www.geonames.org/8378489","Cappadocia and Galatia (Roman province) (Turkey)"
"igch0655","Hunedoara district, southern Transylvania, Rumania, before 1915","Hunedoara district","",""
"igch2142","Selinunte, 1903","Selinunte","http://www.geonames.org/2523164","Selinunte (Italy)"
"igch1741","Asvan, c. 35 km. NW of Elazig (anc. district of Sophene, Armenia), 1969","Asvan","http://www.geonames.org/359792","Aswan (Egypt)"
"igch2379","Nice (anc. Nicaea), 1881","Nice","http://www.geonames.org/2990440","Nice (France)"
"igch0402","Bâlgarene, c. 40 km. E of Pleven, Bulgaria, 1948","Bâlgarene","http://www.geonames.org/732804","Bŭlgarene (Bulgaria)"
"igch1244","Karaman, 1947-8","Karaman","http://www.geonames.org/309527","Karaman (Turkey)"
"igch0409","Codlea, c. 15 km. WNW of Brasov, Rumania, 1899","Codlea","http://www.geonames.org/681179","Codlea (Romania)"
"igch2139","Piazza Armerina, c. 1894","Piazza Armerina","http://www.geonames.org/2523796","Piazza Armerina (Italy)"
"igch0994","Khristoforovka, Bashtanka raion, Nikolaev oblast, Ukraine, before 1913","Khristoforovka","http://www.geonames.org/7451815","Khristoforovka (Russia)"
"igch0608","Gaiesti, 70 km. NW of Bucharest, Rumania, 1946","Gaiesti","",""
"igch0714","Givkovo, c. 60 km. SE of Sofia, Bulgaria, 1905","Givkovo","",""
"igch1146","Myrmecium (mod. Cape Karantin), just N of Kerch', Crimea oblast, Ukraine, 1949","Myrmecium","",""
"igch1164","Asia Minor, western, 1960","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0700","Mahmudia, c. 22 km. SE of Tulcea, Rumania, 1949","Mahmudia","http://www.geonames.org/674077","Comuna Mahmudia (Romania)"
"igch1287","Caria?, c. 1965","Caria","http://www.geonames.org/8378490","Caria and Phrygia (Roman province) (Turkey)"
"igch0213","Senicë, c. 15 km. N of Sarandë, Albania, 1958","Senicë","http://www.geonames.org/781733","Senicë (Albania)"
"igch1396","Eskisehir (anc. Dorylaeum) environs, Phrygia, 1953","Eskisehir  environs","",""
"igch1983","Taranto, Via Principe Amedeo, 1896","Taranto","http://www.geonames.org/3165926","Taranto (Italy)"
"igch2194","Sicily, 1921","Sicily","http://www.geonames.org/2523920","Palermo (Italy)"
"igch1806","Susiana, 1965 ?","Susiana","http://www.geonames.org/127084","Khūzestān (Iran)"
"igch0943","Razgrad, Bulgaria, 1956","Razgrad","http://www.geonames.org/727696","Razgrad (Bulgaria)"
"igch0664","Mindja, c. 18 km. E of Veliko Târnovo, Bulgaria, 1959","Mindja","http://www.geonames.org/6460817","Mindja (Bulgaria)"
"igch0341","Aghia Varvara, near Eleusis, Attica, 1932","Aghia Varvara","http://www.geonames.org/8436876","Aghia Varvara (Greece)"
"igch0479","Beroea, Macedonia, 1962","Beroea","http://www.geonames.org/170063","Aleppo (Syria)"
"igch0765","Ajtos, c. 25 km. NW of Burgas, Bulgaria, 1953","Ajtos","http://www.geonames.org/733579","Aytos (Bulgaria)"
"igch0560","Selci (Selce), near Shkodër, Albania, 1870?","Selci","http://www.geonames.org/3191126","Selci Ðakovački (Croatia)"
"igch0120","Dyrmish, c. 20 km. SE of Sarandë, Albania, 1960","Dyrmish","",""
"igch1863","Sutlej River, Punjab, India or Pakistan, before 1870","Sutlej River","http://www.geonames.org/1115006","Sutlej River (Pakistan)"
"igch0737","Sofia environs, Bulgaria, 1950","Sofia environs","",""
"igch2031","Cava dei Tirreni, Campania, 1907","Cava dei Tirreni","http://www.geonames.org/3179337","Cava de' Tirreni (Italy)"
"igch2158","Sicily, before 1937","Sicily","http://www.geonames.org/2523920","Palermo (Italy)"
"igch0127","Piraeus, 1956","Piraeus","http://www.geonames.org/255274","Piraeus (Greece)"
"igch1786","Basra environs, in anc. Characene, c. 1955","Basra environs","",""
"igch0370","Chalcidice, Macedonia, 1936","Chalcidice","http://www.geonames.org/735805","Chalcidice (Greece)"
"igch2184","Mineo, 30 km. W of Leontini, 1905","Mineo","http://www.geonames.org/2524142","Mineo (Italy)"
"igch1912","Frasso Telesino, 24 km. NE of Caserta, Campania, 1931","Frasso Telesino","http://www.geonames.org/3176571","Frasso Telesino (Italy)"
"igch0364","Aidhonokhorion, c. 10 km. WNW of Amphipolis, Macedonia, c. 1936","Aidhonokhorion","http://www.geonames.org/736966","Aidonochóri (Greece)"
"igch0578","Ljubuski, c. 18 km. from the coast, Bosnia, Yugoslavia, before 1902","Ljubuski","http://www.geonames.org/3196324","Ljubuški (Bosnia and Herzegovina)"
"igch2276","Algeria, before 1949","Algeria","http://www.geonames.org/2589581","Algeria (Algeria)"
"igch1374","Samsun (anc. Amisus), Pontus, c. 1900","Samsun","http://www.geonames.org/740264","Samsun (Turkey)"
"igch2275","Pantelleria (anc. Cossura), Punta S. Leonardo, 1939","Pantelleria","http://www.geonames.org/2523890","Pantelleria (Italy)"
"igch0253","Crete, before 1914","Crete","http://www.geonames.org/6697802","Crete (Greece)"
"igch0477","Pella, Macedonia, 1957","Pella","http://www.geonames.org/734726","Pella (Greece)"
"igch1542","Ain Tab (mod. Gaziantep, anc. Doliche), Commagene, 1920-1921","Ain Tab (mod. Gaziantep","",""
"igch0916","Benkovski, c. 30 km. E of Stara Zagora, Bulgaria, 1956","Benkovski","http://www.geonames.org/733276","Benkovski (Bulgaria)"
"igch1743","Mingechaur environs, 1949","Mingechaur environs","",""
"igch1133","Cherronesus (near mod. Sevastopol'), (963?) 1853","Cherronesus","",""
"igch1119","Cherronesus environs (near mod. Sevastopol'), Crimea oblast, Ukraine, 1968","Cherronesus environs","",""
"igch2377","Entremont (anc. oppidum of the Salluvii), near Aix, 1946","Entremont","http://www.geonames.org/6458768","District d'Entremont (Switzerland)"
"igch0618","Curcani, 50 km. SSE of Bucharest, Rumania, c. 1935","Curcani","http://www.geonames.org/679935","Comuna Curcani (Romania)"
"igch0031","Scyros, c. 1929","Scyros","http://www.geonames.org/253613","Skyros (Greece)"
"igch0529","Vlasica, near Veliko Târnovo, Bulgaria, 1934","Vlasica","http://www.geonames.org/3244999","Vlasica (Bosnia and Herzegovina)"
"igch1555","Syria, 1971","Syria","http://www.geonames.org/163843","Syria (Syria)"
"igch1016","Olbia (mod. Parutino), 1956","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch1643","Memphis, 1920","Memphis","http://www.geonames.org/4641239","Memphis (United States)"
"igch1497","Phoenicia, 1947","Phoenicia","http://www.geonames.org/8504928","Phoenicia (Lebanon)"
"igch0968","Lipnik, c. 30 km. E of Ruse, Bulgaria, 1950","Lipnik","http://www.geonames.org/724191","Malý Lipník (Slovakia)"
"igch0588","Simleul, 71 km. WNW of Cluj, Rumania, 1907","Simleul","http://www.geonames.org/667101","Şimleu Silvaniei (Romania)"
"igch1948","S. Giorgio Morgeto, near Rosarno (anc. Medma), Bruttium, 1914","S. Giorgio Morgeto","",""
"igch1789","Persepolis, Persist 1933","Persepolis","http://www.geonames.org/110836","Persepolis (Iran)"
"igch0866","Anadol (now Domanskoe), Reni raion, (46, 74) Odessa oblast, Ukraine, 1895","Anadol","http://www.geonames.org/690088","Veliko-Anadol’ (Ukraine)"
"igch2207","Porto Empedocle, near Agrigento, 1896-1897","Porto Empedocle","http://www.geonames.org/2523705","Porto Empedocle (Italy)"
"igch1501","Tell el Fukhar (anc. Ace), Phoenicia, 1963","Tell el Fukhar","http://www.geonames.org/281668","Khirbat Tall al Fakhkhār (Palestine)"
"igch1619","Tripolis, Phoenicia, 1884-1885","Tripolis","http://www.geonames.org/2210247","Tripoli (Libya)"
"igch0935","Comotini (formerly Gumuldjina), Thrace, 1951","Comotini","",""
"igch1941","Capua, Campania, 1881","Capua","http://www.geonames.org/3180601","Capua (Italy)"
"igch1001","Olbia (mod. Parutino), Ochakov raion, Nikolaev oblast, Ukraine, before 1902","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
