"id","value","place","geonames_uri","geonames_place"
"igch0611","Moldova Veche, c. 72 km. W of Turnu Severin, Rumania, 1879","Moldova Veche","http://www.geonames.org/672909","Moldova Veche (Romania)"
"igch2098","Monforte S. Giorgio, 24 km. W of Messina, 1947","Monforte S. Giorgio","",""
"igch0468","Čerpaev, Veliko Târnovo district, Bulgaria, 1957","Čerpaev","",""
"igch1236","Asia Minor, northern, c. 1960","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch2304","Constantine (anc. Cirta), 300 km. E of Algiers, Algeria, c. 1914","Constantine","http://www.geonames.org/2501152","Constantine (Algeria)"
"igch1230","Miletopolis?, Mysia, before 1919","Miletopolis","http://www.geonames.org/744537","Karacabey (Turkey)"
"igch2370","Vitrolles, 20 km. NW of Marseille, 1905","Vitrolles","http://www.geonames.org/2967870","Vitrolles (France)"
"igch1498","Palestine, 1963","Palestine","http://www.geonames.org/6254930","Palestine (Palestine)"
"igch0849","Blagun, c. 50 km. S of Haskovo, Bulgaria, 1955","Blagun","http://www.geonames.org/733182","Blagun (Bulgaria)"
"igch0789","Asparuhovo, c. 100 km. SW of Varna, Bulgaria, 1956","Asparuhovo","",""
"igch1694","Benha (anc. Athribis), 50 km. N of Cairo, 1936","Benha","http://www.geonames.org/359280","Banhā (Egypt)"
"igch1569",""Kefir," Syria ?, 1910",""Kefir","http://www.geonames.org/294489","Har Kefir (Israel)"
"igch1536","Latakia (anc. Laodiceia ad Mare), Seleucis, 1946","Latakia","http://www.geonames.org/173576","Latakia (Syria)"
"igch0988","Olbia (mod. Parutino), 1949","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch1360","Rhodes?, c. 1929","Rhodes","http://www.geonames.org/6299505","Rhodes Maritsa Airport (Greece)"
"igch2113","Agrigento (anc. Acragas), 1905","Agrigento","http://www.geonames.org/2525764","Agrigento (Italy)"
"igch2004","Lecce?, Calabria, 1961-1962","Lecce","http://www.geonames.org/3174953","Lecce (Italy)"
"igch2335","Tivisa, 30 km. NE of Tortosa, 1913","Tivisa","http://www.geonames.org/3108057","Tivissa (Spain)"
"igch0495","Gortalovo, near Pleven, Bulgaria, 1951","Gortalovo","http://www.geonames.org/731124","Gortalovo (Bulgaria)"
"igch1113","Olbia (mod. Parutino), 1935","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch1601","Nablus (anc. Neapolis), Samaria, 1891 ?","Nablus","http://www.geonames.org/282615","Nablus (Palestine)"
"igch0047","Piraeus, 1882","Piraeus","http://www.geonames.org/255274","Piraeus (Greece)"
"igch1190","Asia Minor, western, c. 1936","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0107","Peloponnesus, 1961","Peloponnesus","http://www.geonames.org/255620","Pelopónnisos (Greece)"
"igch0187","Corinth environs, 1938","Corinth environs","",""
"igch1024","Ėrgeta, Zugdidi raion, Georgia, 1926","Ėrgeta","http://www.geonames.org/614676","Ergeta (Georgia)"
"igch0713","Sofia (Ovča kupel), Bulgaria, 19411950","Sofia","http://www.geonames.org/727011","Sofia (Bulgaria)"
"igch0483","Philippi environs, Macedonia, 1965 or earlier","Philippi environs","",""
"igch1331","Priene, 1895-8","Priene","http://www.geonames.org/7733372","Priene (Turkey)"
"igch0868","Comotini (formerly Gumuldjina), Thrace, date unknown","Comotini","",""
"igch1249","Isparta (anc. Baris) environs, Pisidia, 1963","Isparta  environs","",""
"igch1500","Beirut (anc. Berytus) environs, Phoenicia, 1966","Beirut  environs","",""
"igch1208","Samos, Ionia, 1936","Samos","http://www.geonames.org/254114","Samos Island (Greece)"
"igch0070","Kirrha, near Delphi, Phocis, 1938","Kirrha","",""
"igch1465","Asia Minor, c. 1840-5","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch1787","Mesopotamia ?, 1968","Mesopotamia","http://www.geonames.org/99237","Iraq (Iraq)"
"igch1631","Kurnub, near Beersheba, Idumaea, 1966","Kurnub","http://www.geonames.org/294731","H̱orbat Mamshit (Israel)"
"igch1882","Bruttium, before 1940?","Bruttium","http://www.geonames.org/2525059","Catanzaro (Italy)"
"igch1114","Olbia (mod. Parutino), 1902","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch0552","Zyges, near Cavalla, Macedonia, 1955","Zyges","",""
"igch1315","Karini, Lesbos, 1888(534, 721)","Karini","http://www.geonames.org/193718","Karini (Kenya)"
"igch0812","Kaolinovo, c. 60 km. E of Sumen, Bulgaria, 1965","Kaolinovo","http://www.geonames.org/730650","Obshtina Kaolinovo (Bulgaria)"
"igch0930","Popina, c. 30 km. W of Silistra, Bulgaria, 1957","Popina","http://www.geonames.org/6459760","Popina (Bulgaria)"
"igch2127","Sicily, c. 1960","Sicily","http://www.geonames.org/2523920","Palermo (Italy)"
"igch0490","Gorni Dâbnik, 20 km. SW of Pleven, Bulgaria, 1958","Gorni Dâbnik","http://www.geonames.org/731213","Gorni Dŭbnik (Bulgaria)"
"igch1559","Akkar, c. 45 km. SW of Homs (anc. Emesa), Seleucis, 1956","Akkar","http://www.geonames.org/280572","Caza de Aakkâr (Lebanon)"
"igch2036","Castagneto, 1896","Castagneto","http://www.geonames.org/3179762","Castagneto Carducci (Italy)"
"igch0727","Careva poljana, c. 20 km. S of Haskovo, Bulgaria, 1937","Careva poljana","http://www.geonames.org/6459502","Careva poljana (Bulgaria)"
"igch2257","Lipari, 1920","Lipari","http://www.geonames.org/2524378","Lipari (Italy)"
"igch2110","Canicattini, 20 km. W of Syracuse, 1908","Canicattini","http://www.geonames.org/2525404","Canicattini Bagni (Italy)"
"igch2375","Valence, 90 km. S of Lyon, 1902","Valence","http://www.geonames.org/2509954","Valencia (Spain)"
"igch1019","Olbia (mod. Parutino), 1951","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch1742","Mingechaur environs, S of the Kura (anc. Cyrus) River, c. 240 km. E of Baku, Azerbaidzhan, in anc. Armenia, 1949","Mingechaur environs","",""
"igch0154","Crete, central region, 1936 (62, 283)","Crete","http://www.geonames.org/6697802","Crete (Greece)"
"igch0449","Vedea, 18 km. W of Giurgiu, Rumania, 1965","Vedea","http://www.geonames.org/663082","Comuna Vedea (Romania)"
"igch0818","Roksolany (anc. Niconium), Ovidiopol' raion, Odessa oblast, Ukraine, 1960","Roksolany","http://www.geonames.org/695513","Roksolany (Ukraine)"
"igch0372","Olynthus, Macedonia, 1931","Olynthus","http://www.geonames.org/735088","Myriófyto (Greece)"
"igch2214","Selinunte, 1874","Selinunte","http://www.geonames.org/2523164","Selinunte (Italy)"
"igch1283","Aphrodisias, Caria, 1969","Aphrodisias","http://www.geonames.org/7733053","Aphrodisias (Turkey)"
"igch0506","Tarnava, c. 45 km. N of Vraca, Bulgaria, 1956","Tarnava","http://www.geonames.org/8334775","Comuna Târnava (Romania)"
"igch2248","Serra Orlando (anc. Morgantina), 4 km. NE of Piazza Armerina, 1958","Serra Orlando","http://www.geonames.org/7774651","Sítio Orlando Gil (Brazil)"
"igch2185","Camarina environs, c. 1928","Camarina environs","",""
"igch1947","Grimaldi, 15 km. S of Cosenza, Bruttium, 1933","Grimaldi","http://www.geonames.org/2524566","Grimaldi (Italy)"
"igch2282","Tunisia, unc. locality c. 30 km. from Tunis, 1952","Tunisia","http://www.geonames.org/2464470","Tunis (Tunisia)"
"igch0016","Attica, before 1906","Attica","http://www.geonames.org/255274","Piraeus (Greece)"
"igch2071","Monte Bubbonia, 25 km. N of Gela, (188 = 667) 1910","Monte Bubbonia","",""
"igch0437","Cakran, 18 km. SE of Fier, Albania, 1962","Cakran","http://www.geonames.org/3185925","Cakran (Albania)"
"igch0526","Vidrare, c. 70 km. NE of Sofia, Bulgaria, 1949","Vidrare","http://www.geonames.org/725898","Vidrare (Bulgaria)"
"igch1989","Gioia Tauro, Bruttium, before 1902","Gioia Tauro","http://www.geonames.org/2524606","Gioia Tauro (Italy)"
"igch0799","Galati environs, Rumania, c. 1872","Galati environs","",""
"igch2369","Tourves, 50 km. E of Marseille, 1366","Tourves","http://www.geonames.org/2972168","Tourves (France)"
"igch1056","Olbia (mod. Parutino), Ochakov raion, Nikolaev oblast, Ukraine, 1957","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch1928","Carosino, 15 km. E of Taranto, Calabria, 1905","Carosino","http://www.geonames.org/3180466","Carosino (Italy)"
"igch0862","Mangalia (anc. Callatis), 39 km. S of Constanta, Rumania, 1935","Mangalia","http://www.geonames.org/673921","Mangalia (Romania)"
"igch0644","Mazin, Croatia, Yugoslavia, 1896","Mazin","http://www.geonames.org/1309903","Mazin (Myanmar [Burma])"
"igch1262","Bucak, c. 15 km. S of Elmali, near Avian Gölü (anc. Podalia Lake), Lycia, 1957","Bucak","http://www.geonames.org/8632425","Bucak İlçesi (Turkey)"
"igch1875","Volterra, Etruria, 1868","Volterra","http://www.geonames.org/6299613","Volterra (Italy)"
"igch0806","Brestovo (formerly Hadji keuj), near Plovdiv, Bulgaria, 1933-1934","Brestovo","http://www.geonames.org/732896","Brestovo (Bulgaria)"
"igch1416","Kayseri (anc. Caesarea) environs, Cappadocia, c. 1955","Kayseri  environs","",""
"igch2384","Marsillargues, 30 km. SW of Nîmes, 1942","Marsillargues","http://www.geonames.org/2995456","Marsillargues (France)"
"igch0903","Sumen (formerly Kolarovgrad) environs, Bulgaria, 1949","Sumen  environs","",""
"igch1368","Asia Minor, northern, c. 1970","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch1041","Sandzhavakho environs, Samtredia raion, Georgia, 1894","Sandzhavakho environs","",""
"igch2041","Sovana, 40 km. SW of Orvieto, Etruria, 1885","Sovana","http://www.geonames.org/3166324","Sovana (Italy)"
"igch2271","Tunis, 1948","Tunis","http://www.geonames.org/2464470","Tunis (Tunisia)"
"igch1612","El-Jib (anc. Gibeon), Judaea, 1956","El-Jib","http://www.geonames.org/285070","Al Jīb (Palestine)"
"igch2356","Lattes (anc. Latera) near Montpellier, 1966","Lattes  near Montpellier","",""
"igch0622","Stoensti, c. 35 km. SSW of Bucharest, Rumania, 1963","Stoensti","",""
"igch2309","Cape Matafus, 20 km. E of Algiers, Algeria, 1786","Cape Matafus","",""
"igch1054","Olbia (mod. Parutino), Ochakov raion, Nikolaev oblast, Ukraine, 1947","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch1275","Dali (anc. Idalium), , 1869 (297, part)","Dali","http://www.geonames.org/1814093","Dali (China)"
"igch1880","Gerace (anc. Locri), Bruttium, before 1845","Gerace","http://www.geonames.org/2524643","Gerace (Italy)"
"igch0471","Gephyra, near Thessalonica, Macedonia, 1967","Gephyra","http://www.geonames.org/251464","Yéfira (Greece)"
"igch0242","Arcadia, 1929","Arcadia","http://www.geonames.org/3604400","Nueva Arcadia (Honduras)"
"igch1894","South Italy, 1963 ?","South Italy","http://www.geonames.org/3437652","Nueva Italia (Paraguay)"
"igch0638","Sîngeorzu Nou, 24 km. SSW of Bistrita, Rumania, 1902","Sîngeorzu Nou","",""
"igch1174","Datça (anc. Cnidus), Caria, , c. 1966","Datça","http://www.geonames.org/8631963","Datça İlçesi (Turkey)"
"igch0874","Golem monastir, c. 20 km. W of Kârdzali, Bulgaria, 1938","Golem monastir","",""
"igch0061","Thessaly, 1966","Thessaly","http://www.geonames.org/6697809","Thessaly (Greece)"
"igch1204","Asia Minor, western, 1966-1967","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0899","Ajtos environs, c. 25 km. NW of Burgas, Bulgaria, 1925","Ajtos environs","",""
"igch0384","Palatitsa, Macedonia, 1962","Palatitsa","http://www.geonames.org/730719","Kamburovo (Bulgaria)"
"igch2258","Termini Imerese environs, 1958","Termini Imerese environs","",""
"igch1167","Vourla (now Urla; anc. Clazomenae), , Ionia, 1911","Vourla","http://www.geonames.org/261211","Kaména Voúrla (Greece)"
"igch0986","Olbia (mod. Parutino), 1947","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch2292","Sulcis (mod. S. Antioco), 60 km. WSW of Cagliari, Sardinia, 1874","Sulcis","http://www.geonames.org/2522984","Sulcis (Italy)"
"igch0358","Kaliandra (anc. Mende), Macedonia, 1913","Kaliandra","",""
"igch1817","Susa, Susiana, 1927-8","Susa","http://www.geonames.org/409419","Şuşa Şəhəri (Azerbaijan)"
"igch0809","Krajnovo, 31 km. SE of Silistra, Bulgaria, 1896","Krajnovo","http://www.geonames.org/541264","Kraynovo (Russia)"
