internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
58,,Hippolyte,,"from_cnt,from_it",Female,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/hippolyte_person
458,,Hispania,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Hispania_person
17,,Homonoia,,"from_cnt,from_it",Female,Deity,Greek,Personification,,,Concordia,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/homonoia_person
428,,Honos,,from_ocre,Male,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Honos_person
18,,Hygieia,,"from_cnt,from_it",Female,Deity,Greek,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58668
432,,Indulgentia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Indulgentia_person
617,,Iole,,from_cnt,Female,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/iole_person
19,,Isis,,"from_cnt,from_it",Female,Deity,Egyptian,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/54025
sub45,Isis Pharia,Isis,isis ploiaphesia,,Female,Deity,Egyptian,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/54025
sub46,Isis Ploiaphesia,Isis,isis pharia,,Female,Deity,Egyptian,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/54025
85,,Istrus,,from_it,Male,Deity,RiverGod,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/istrus_NEW
440,,Italia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Italia_person
325,,Iupiter,"child jupiter,jupiter,jupiter karios",from_cnt,Male,Deity,Roman,Olympic,,,Zeus,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
