internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
sub68,Apollo Smintheus,Apollo,,,Male,Deity,Roman,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56988
sub69,Apollo Soter,Apollo,,,Male,Deity,Roman,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56988
sub70,Apollo Thearios,Apollo,,,Male,Deity,Roman,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56988
415,,Apollon,apollon keraunos,from_cnt,Male,Deity,Greek,Olympic,,,Apollo,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56988
471,,Arabia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Arabia_person
66,,Ares,,"from_cnt,from_it",Male,Deity,Greek,Olympic,,,Mars,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59284
56,,Ariadne,,"from_cnt,from_it",Female,MythologicalFigure,,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57016
544,,Arles,arelate,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Arles_person
435,,Armenia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Armenia_person
4,,Artemis,,"from_cnt,from_it",Female,Deity,Greek,Olympic,,,Diana,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub3,Artemis Aptara,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub4,Artemis Astyrene,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub5,Artemis Diktynna,Artemis,artemis diktynnaia,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub6,Artemis Elaphebolia,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub7,Artemis Ephesia,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub8,Artemis Erykine,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub9,Artemis Hekate,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub10,Artemis Hemera,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub11,Artemis Laphria,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub12,Artemis Leukophryene,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub13,Artemis Mesopolitis,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub14,Artemis Orthia,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub15,Artemis Panachaia,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub16,Artemis Pergaia,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub17,Artemis Phosphoros,Artemis,"diana lucifera,artemis tauropolos",,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
