ID,Title,URI,Findspot
183998,Quinarius with bust of Carus,http://numismatics.org/ocre/id/ric.5.car.58,
184009,"Antoninianus with bust of Numerian, struck under Carus",http://numismatics.org/ocre/id/ric.5.car.360,
184018,"Coin with bust of  Divus Romulus, struck under Maxentius",http://numismatics.org/ocre/id/ric.6.rom.239,
183087,Antoninianus with head of Quintillus,http://numismatics.org/ocre/id/ric.5.qu.40,
183117,"Denarius with head of Augustus, struck under C. Antistius Reginus",http://numismatics.org/ocre/id/ric.1(2).aug.410,
161979,"Denarius with head of Roma, issued by Mn. Aemilius Lepidus",http://numismatics.org/crro/id/rrc-291.1,
183925,"Quadrans with pileus, struck under Gaius (Caligula)",http://numismatics.org/ocre/id/ric.1(2).gai.52,
162084,"Dupondius with head of Divus Augustus, struck under Gaius (Caligula)",http://numismatics.org/ocre/id/ric.1(2).gai.56,
178408,"As with head of Domitian, struck under Titus",http://numismatics.org/ocre/id/ric.2_1(2).tit.352,
183946,As with head of Tiberius,http://numismatics.org/ocre/id/ric.1(2).tib.52,
162196,Dupondius with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.502,
184052,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.294A,
184070,As with head of Domitian,http://numismatics.org/ocre/id/ric.2_1(2).dom.221,
184068,Antoninianus with bust of Trebonianus Gallus,http://numismatics.org/ocre/id/ric.4.tr_g.31,
184053,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.298A,
184055,Antoninianus with bust of Volusian,http://numismatics.org/ocre/id/ric.4.vo.167,
184105,Antoninianus with bust of Volusian,http://numismatics.org/ocre/id/ric.4.vo.141,
162346,"Sestertius with bust of Faustina II, struck under Marcus Aurelius",http://numismatics.org/ocre/id/ric.3.m_aur.1651,
184092,Sestertius with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.635b,
162438,Sestertius with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.627,
162494,"Antoninianus with bust of Hostilian, struck under Trajan II Decius",http://numismatics.org/ocre/id/ric.4.tr_d.181D,
184199,"Antoninianus with bust of Herennius Etruscus, struck under Trajan II Decius",http://numismatics.org/ocre/id/ric.4.tr_d.141,
162493,"Antoninianus with bust of Herennius Etruscus, struck under Trajan II Decius",http://numismatics.org/ocre/id/ric.4.tr_d.146,
184206,Antoninianus of Gallic Empire with bust of Marius,http://numismatics.org/ocre/id/ric.5.mar.7,
184192,Antoninianus with bust of Maximian I Herculius,http://numismatics.org/ocre/id/ric.5.dio.346,
184190,Antoninianus with bust of Florian,http://numismatics.org/ocre/id/ric.5.fl.38,
